id,question,gold_answer,model_answer,sample_1,sample_2,sample_3,agreement_count,confidence,elapsed_sec
11,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"Diane Bell co-wrote ""Blood"" (2012).","Diane Bell co-wrote ""Blood"" (2012).","Nick Murphy co-wrote the film ""Blood"" with Diane Bell, however, since Diane Bell wrote and directed ""Blood"" (2015) and not Nick Murphy, the correct answer is Diane Bell.","Diane Bell directed ""Blood"" (2012) and co-wrote it with herself.",1,LOW,15.6
12,"Which genus has more species, Fir or Chelone?",Firs,Firs (Abies) have more species than Chelone.,Firs (Abies) have more species than Chelone.,Fir has more species (48-56) than Chelone (4).,"Fir has more species, with 48-56 species, compared to Chelone's four species.",1,LOW,11.8
13,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,Maytenus is more spread around the world.,Maytenus.,Maytenus is more spread around the world.,Maytenus is more spread around the world.,2,HIGH,6.8
14,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","Lesane Parish Crooks, better known as Tupac Amaru Shakur, was born on June 16, 1971.","Lesane Parish Crooks, better known as Tupac Amaru Shakur, was born on June 16, 1971.","Lesane Parish Crooks, also known as Tupac Amaru Shakur, was born on June 16, 1971.","Lesane Parish Crooks, aka Tupac Amaru Shakur, was born on June 16, 1971.",1,LOW,15.3
15,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,Macalester College.,Macalester College.,Macalester College.,Macalester College.,3,HIGH,6.9
16,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","Albany, New York.","Albany, New York.","Albany, New York.","Albany, New York.",3,HIGH,7.5
17, Are Phil Mogg and Dave Peters musicians?,yes,Yes.,"Yes, Phil Mogg and Dave Peters are both musicians.",Yes.,Yes.,2,HIGH,6.2
18,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","""A Long Way Home"" by Saroo Brierley.","""A Long Way Home"" by Saroo Brierley.","""A Long Way Home"" by Saroo Brierley.","A Long Way Home"" by Saroo Brierley.",2,HIGH,8.5
19,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,Ushshaki was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin.,Ushshaki was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin.,Ushshaki was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin.,Ushshaki was a branch of the Khalwatiyya order of Islamic mysticism.,2,HIGH,15.3
20,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,"There is no information about a person named Toby Williams in the provided context, but Toby Sawyer is mentioned as a British actor.","There is no information about a person named Toby Williams in the provided context, but Toby Sawyer is mentioned as a British actor.","I couldn't find any information about a person named Toby Williams being a British actor, writer and award-winning stand-up comedian.","I couldn't find any information on a British actor, writer, and award-winning stand-up comedian named Toby Williams, the question appears to be referring to Michael Williams.",1,LOW,15.1
21,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,"John Waite had more fame as a solo artist, with a No. 1 hit on the US Billboard Hot 100.","John Waite had more fame as a solo artist, with a No. 1 hit on the US Billboard Hot 100.","John Waite had more fame as a solo artist, with 1984's ""Missing You"" reaching No. 1 on the US Billboard Hot 100 and top ten on the UK Singles Chart.","John Waite had more fame as a solo artist, with a No. 1 hit on the US Billboard Hot 100 in 1984.",1,LOW,16.9
22,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,Sickle-cell anaemia (SCA).,Sickle-cell anaemia (SCA).,Sickle-cell anemia.,Sickle-cell anaemia (SCA).,2,HIGH,7.4
23,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,The special operations force of the Irish Defence Forces had access to a wide variety of specialist weapons.,The special operations force of the Irish Defence Forces had access to a wide variety of specialist weapons.,"The special operations force of the Irish Defence Forces, the Army Ranger Wing, had access to a wide variety of specialist weapons.",Specialist weapons for use in different roles.,1,LOW,10.5
24,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"Sutton Forest, New South Wales, Australia.","Sutton Forest, New South Wales, Australia.","Sutton Forest, New South Wales, Australia.","Sutton Forest, New South Wales, Australia.",3,HIGH,7.5
25,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,The 2010 Washington Huskies head coach works for the Atlanta Falcons.,The 2010 Washington Huskies head coach works for the Atlanta Falcons.,"None, the 2010 Washington Huskies head coach does not work for an NFL team.",The Atlanta Falcons.,1,LOW,9.2
26,What country of origin does Patrick Brice and Creep have in common?,American,I don't have the information to answer this question.,I don't have the information to answer this question.,"I couldn't find any information on Patrick Brice and Creep, nor is there any mention of a person named Patrick Brice in the provided context.",There is no context about Patrick Brice and Creep to determine a common country of origin.,1,LOW,12.1
27,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"The base of the Government Communications Headquarters (GCHQ) is located in the suburbs of Cheltenham, specifically in ""The Doughnut"".","The base of the Government Communications Headquarters (GCHQ) is located in the suburbs of Cheltenham, specifically in ""The Doughnut"".","The base of the Government Communications Headquarters (GCHQ) is in ""The Doughnut"" in the suburbs of Cheltenham.",Cheltenham.,1,LOW,13.5
28,Where did the fairy Queen Mab orginate?  ,William Shakespeare,Irish and English legend.,Irish and English legend.,The origin of Queen Mab is not specified in the provided context.,The origin of the fairy Queen Mab is not specified in the provided context.,1,LOW,8.9
29,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,Lyric coloratura soprano.,Lyric soprano.,Lyric coloratura soprano.,Lyric coloratura soprano.,2,HIGH,6.5
30,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,Club Arsenal and the England national team.,Club Arsenal and the England national team.,Daniel Nii Tackie Mensah Welbeck plays for Arsenal.,Arsenal.,1,LOW,8.2
31,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,The Aberdeen Bestiary is located near the River Thames.,The Aberdeen Bestiary is located near the River Thames.,The Aberdeen Bestiary is located near the River Thames.,"The Aberdeen Bestiary is located in the Aberdeen University Library, Univ Lib. MS 24, which is located in Aberdeen, Scotland.",2,HIGH,10.6
32,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,I cannot verify if Richard Wilson directed a film starring Ralph Fiennes and Tom Sizemore.,I cannot verify if Richard Wilson directed a film starring Ralph Fiennes and Tom Sizemore.,I cannot verify that information about Richard Wilson directing a film starring Ralph Fiennes.,I couldn't find any information about a film directed by Richard Wilson that stars a life member of The Actors Studio.,1,LOW,12.9
33,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,Jonestown.,Jonestown.,Jonestown.,Jonestown.,3,HIGH,5.8
34,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,I couldn't find any information about a person named Christoph Koncz starring as Kaspar Weiss.,"I couldn't find any information about a person named Christoph Koncz starring as Kaspar Weiss in a film, and neither could I find any information about Kaspar Weiss starring in a film that matches the provided context.",I couldn't find any information about a person named Christoph Koncz starring as Kaspar Weiss.,I couldn't find any information about a person named Christoph Koncz starring as Kaspar Weiss.,2,HIGH,14.2
35,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,1994.,1994.,1994.,1994,2,HIGH,6.5
36,Are Monoral and Versus both rock bands?,yes,"Yes, both Monoral and Versus are rock bands.","Yes, both Monoral and Versus are rock bands.","Yes, both Monoral and Versus are rock bands.",Yes.,2,HIGH,6.3
37,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,Kanagawa Prefecture.,Yokohama is the capital city of Kanagawa Prefecture.,Kanagawa Prefecture.,Kanagawa Prefecture.,2,HIGH,8.1
38,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,2002.,2002.,2002.,2002.,3,HIGH,5.6
39,Cooper pairs were first described by an American physicist born in what year?,1930,1930.,1930.,1930.,1930.,3,HIGH,6.0
40,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,"""Jumong"".","""Jumong"".","""Jumong"".","""Jumong"".",3,HIGH,6.7
41,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,Jonathan Hyde starred in The Strain.,Jonathan Hyde starred in The Strain.,"I couldn't find any information about an actor starring in ""The 39 Steps"" or any connection to the 1999 film adaptation of the same name.",There is no information about Jonathan Hyde or John Lithgow starring in The 39 Steps.,1,LOW,14.3
42,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,"No, the Toy Trawler Spaniel was not introduced to France, it was an extinct breed from the 16th century.","No, the Toy Trawler Spaniel was not introduced to France, it was an extinct breed from the 16th century.","No, there is no mention of either breed being introduced to France in the context provided.","No, there is no mention of either breed being introduced to France in the provided context.",1,LOW,12.6
43,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,Medici was created by Reiner Knizia.,Medici was created by Reiner Knizia.,Medici was created by Reiner Knizia.,Medici was created by Reiner Knizia.,3,HIGH,7.8
44,Were George Melford and Giuseppe Tornatore both actors?,no,"No, George Melford was an actor, director, producer, and screenwriter, while Giuseppe Tornatore is a film director and screenwriter.","No, George Melford was an actor, director, producer, and screenwriter, while Giuseppe Tornatore is a film director and screenwriter.","No, Giuseppe Tornatore was not mentioned as an actor, only as a film director and screenwriter.","No, Giuseppe Tornatore was a film director and screenwriter, not an actor.",1,LOW,13.5
45,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,Kazushi Sakuraba.,Kazushi Sakuraba.,Kazushi Sakuraba.,Kazushi Sakuraba.,3,HIGH,7.8
46,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,St Paul's Cathedral is located in London.,St Paul's Cathedral is located in London.,St Paul's Cathedral is located in London.,St Paul's Cathedral is located in London.,3,HIGH,8.0
47,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,Tom Verlaine is older than David Vincent.,Tom Verlaine is older than David Vincent.,Tom Verlaine is older than David Vincent.,Tom Verlaine is older than David Vincent.,3,HIGH,8.8
48,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,"Codding Enterprises owns the mall, and Simon Property Group is the parent company, but they also own Santa Rosa Plaza.","Codding Enterprises owns the mall, and Simon Property Group is the parent company, but they also own Santa Rosa Plaza.","Codding Enterprises owns the mall, but Simon Property Group is the managing company.","Simon Property Group owns a mall in Youngstown, Ohio, with a BAM! store.",1,LOW,19.4
49,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997","June 11, 1997.","June 11, 1997.","June 11, 1997.","June 16, 1971.",2,HIGH,10.2
50,"What is the name of this 2010 American romantic comedy film directed by Garry Marshall, released February 9, 2010 via Big Machine Records?",Valentine's Day,Valentine's Day.,Valentine's Day.,Valentine's Day.,Valentine's Day.,3,HIGH,11.3
51,When was the railroad opened which is north to the Bates Pond?,1947,1947.,1947.,There is no information about a railroad being located north of Bates Pond.,I can't determine which railroad you are referring to from the context you provided.,1,LOW,10.9
52,"Who is Mary, Crown Princess of Denmark's mother-in-law?",Queen Margrethe II,Queen Margrethe II.,Queen Margrethe II.,Queen Margrethe II.,Queen Margrethe II.,3,HIGH,11.0
53,In what party is the president whose cabinet Francisco Javier Mayorga Castañeda serves in?,National Action Party,Felipe Calderón is a member of the National Action Party (PAN).,Felipe Calderón is a member of the National Action Party (PAN).,"Felipe Calderón serves in the National Action Party (""Partido Acción Nacional"", PAN).",Felipe Calderón is a member of the National Action Party (PAN).,2,HIGH,15.1
54,What genre are both Giant Drag and Chagall Guevara?,rock,Both Giant Drag and Chagall Guevara are Indie rock bands.,Both Giant Drag and Chagall Guevara are Indie rock bands.,Both Giant Drag and Chagall Guevara are Indie rock bands.,Both Giant Drag and Chagall Guevara are associated with the trip-hop genre.,2,HIGH,11.8
55,What is the best-seller by Ruta Sepetys?,Between Shades of Gray,Between Shades of Gray is the best-seller by Ruta Sepetys.,Between Shades of Gray is the best-seller by Ruta Sepetys.,Between Shades of Gray is the best-seller by Ruta Sepetys.,Between Shades of Gray by Ruta Sepetys.,2,HIGH,10.7
56,Scary Movie 5 was released under what independent film distribution label?,Dimension Films,I couldn't find any information on Scary Movie 5's release under an independent film distribution label.,I couldn't find any information on Scary Movie 5's release under an independent film distribution label.,"There is no information provided about Scary Movie 5, and no mention of an independent film distribution label for American Scary.",I don't have the information to answer the question.,1,LOW,14.1
57,"What is the population of the small town with an Air Force Base 7 mi northeast of Sacramento, California?",743,The population of McClellan Park is 743.,The population of McClellan Park is 743.,743.,The 2010 census reported a population of 743 for McClellan Park.,1,LOW,12.0
58,When did the coach of the Karachi Kings finish his time as coach of the Australia national cricket team ?,23 June 2013.,Mickey Arthur was sacked on 23 June 2013.,Mickey Arthur was sacked on 23 June 2013.,23 June 2013.,Mickey Arthur was sacked as coach of the Australia national team on 23 June 2013.,1,LOW,10.5
59,"What is the location of this recently retired domed stadium in the southeastern United States, which was developed by the same authority that developed the Georgia World Congress Center?","Atlanta, Georgia","Atlanta, Georgia.","Atlanta, Georgia.","Atlanta, Georgia.","Atlanta, Georgia.",3,HIGH,6.6
60,"Which director has won an Oscar, Ron Shelton or Ken Mora?","Ronald Wayne ""Ron"" Shelton",Neither Ron Shelton nor Ken Mora has won an Oscar.,Neither Ron Shelton nor Ken Mora has won an Oscar as a director.,Neither Ron Shelton nor Ken Mora has won an Oscar.,Neither Ron Shelton nor Ken Mora has won an Oscar.,2,HIGH,10.7
61,Were One Hundred and One Dalmatians and Fun and Fancy Free both animated films?,yes,"Yes, both One Hundred and One Dalmatians and Fun and Fancy Free are animated films.","Yes, both One Hundred and One Dalmatians and Fun and Fancy Free are animated films.","No, Fun and Fancy Free was a live-action film with animated sequences, while One Hundred and One Dalmatians was an animated film.","No, Fun and Fancy Free was a live-action film with animated elements, but not entirely animated.",1,LOW,16.5
62,"A large distribution center is for a company with over 13,000 stores and what other company?",PetSmart,PetSmart.,PetSmart.,PetSmart.,PetSmart.,3,HIGH,6.0
63,In what year did the water park that Surfrider is part of rank first in Australia?,2009,2009.,2009.,2009.,2009.,3,HIGH,5.5
64,"Ricardo Viñes, a Spanish pianist, premiered the works of Maurice Ravel, who is associated with what style?",impressionism,Impressionism.,Impressionism.,Impressionism.,Impressionism.,3,HIGH,7.5
65,Which 'My Name Is Earl' star is also know for his role in a advertising campaign for OfficeMax?,Eddie Steeples,Eddie Steeples.,Eddie Steeples.,Eddie Steeples is the 'My Name Is Earl' star known for his role in an OfficeMax advertising campaign.,Eddie Steeples.,2,HIGH,11.2
66,What actor starred on the Defenders in the 1960s as well as in At Mother's Request,E. G. Marshall,"I cannot verify E.G. Marshall starred in ""At Mother's Request.""","I cannot verify E.G. Marshall starred in ""At Mother's Request.""","I cannot verify the actor who starred in ""At Mother's Request"".","I couldn't find any information on the 2006 BBC Four television play ""At Mother's Request"" or its cast.",1,LOW,14.1
67,Are Macworld and College Humor both magazines?,no,"No, Macworld is a website, while College Humor was a magazine.","No, Macworld is a website, while College Humor was a magazine.","No, Macworld is a website, and College Humor was a magazine.","No, Macworld is a website, while College Humor was a magazine.",2,HIGH,11.6
68,"Francesco Rospigliosi Pallavicini was born in Rome, in what was then which territories in the Italian Peninsula under the sovereign direct rule of the pope, from the 8th century until 1870?",Papal States,The Papal States.,The Papal States.,The Papal States.,The Papal States.,3,HIGH,7.5
69,What country are both Kopparvallen and Conny Torstensson from?,Sweden,Sweden.,Sweden.,Sweden.,Sweden.,3,HIGH,5.1
70,"Which film director directed the internet video serial ""God, Inc."", Roman Karmen or Francis Stokes?",Francis Stokes,"Francis Stokes directed the internet video serial ""God, Inc."".","Francis Stokes directed the internet video serial ""God, Inc."".","Francis Stokes directed the internet video serial ""God, Inc."".","Francis Stokes directed the internet video serial ""God, Inc."".",3,HIGH,11.2
71,Lisa Brennan-Jobs is the daughter of which painter and writer?,Chrisann Brennan,Lisa Brennan-Jobs is the daughter of Chrisann Brennan.,Lisa Brennan-Jobs is the daughter of Chrisann Brennan.,"Lisa Brennan-Jobs is the daughter of Chrisann Brennan, a painter and writer.",Chrisann Brennan.,1,LOW,10.5
72,"Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in which location, an inlet of the Gulf of Maine and Atlantic Ocean in south central Maine?",Penobscot Bay,Penobscot Bay.,Penobscot Bay.,Penobscot Bay.,Penobscot Bay.,3,HIGH,6.9
73,What communications officer was on the staff of a fleet admiral in the United States Navy?,"John ""Jack"" Roland Redman","John ""Jack"" Roland Redman.","John ""Jack"" Roland Redman.","John ""Jack"" Roland Redman was a communications officer on the staff of Admiral Chester W. Nimitz.","John ""Jack"" Roland Redman.",2,HIGH,14.1
74,"Titan and Balderdash, are which specific type of entertainment?",board game,Thrill rides.,Thrill rides and board games.,Thrill rides.,Thrill rides.,2,HIGH,5.7
75,In what state did Olivia Newton-John perform Summer Nights? ,Nevada,"None, as Olivia Newton-John's Summer Nights residency was held in Las Vegas, Nevada.","None, as Olivia Newton-John's Summer Nights residency was held in Las Vegas, Nevada.","There is no information about Olivia Newton-John performing ""Summer Nights"".","There is no mention of Olivia Newton-John performing ""Summer Nights"" in the context provided.",1,LOW,13.4
76,Who was an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage?,George Franklin Getty,There is no information about an American lawyer in the context.,There is no information about an American lawyer in the context.,There is no information about an American lawyer in the provided context.,There is no information about an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage in the provided context.,1,LOW,17.3
77,"What collegiate athletic conference headquartered in Birmingham, Alabama includes schools such as Texas Southern University?",Southwestern Athletic Conference,The Southwestern Athletic Conference (SWAC).,The Southwestern Athletic Conference (SWAC).,The Southwestern Athletic Conference (SWAC).,The Southwestern Athletic Conference (SWAC).,3,HIGH,10.3
78,Foxcatcher is a 2014 American true crime sports drama film about a wrestling team set up in what state?,Pennsylvania,Pennsylvania.,Pennsylvania.,Pennsylvania.,Pennsylvania.,3,HIGH,8.3
79,What is the nationality of the 2003 FIBA Under-19 World Championship MVP ?,Australian,There is no information about the 2003 FIBA Under-19 World Championship MVP in the provided context.,There is no information about the 2003 FIBA Under-19 World Championship MVP in the provided context.,There is no information about the 2003 FIBA Under-19 World Championship MVP in the provided context.,There is no information about the 2003 FIBA Under-19 World Championship MVP in the provided context.,3,HIGH,14.2
80,Did Bedtime Stories and Big Red both star Walter Pidgeon?,no,"No, Big Red starred Walter Pidgeon while Bedtime Stories did not.","No, Big Red starred Walter Pidgeon while Bedtime Stories did not.","No, Big Red starred Walter Pidgeon, but Bedtime Stories did not.","No, Big Red did not star Walter Pidgeon.",1,LOW,13.6
81,Which political ideology was the premise of The National Action Party?,Nationalism,Nationalism.,Nationalism.,Nationalism.,Nationalist ideology.,2,HIGH,5.7
82,"Who manages the station that serves a small town and civil parish in the Borough of Pendle Lancashire, England with a population of 8,200 as of 2011?",Northern,Northern manages the station that serves Brierfield.,Northern manages the station that serves Brierfield.,Northern manages the Brierfield railway station.,Northern manages the station that serves the small town of Brierfield.,1,LOW,9.6
83,Cindy Williams is an award-winning news anchor for a tv station whose trasmitter is located on what mountain?,Winn Mountain,Winn Mountain in Sebago.,Winn Mountain in Sebago.,Sebago.,Winn Mountain in Sebago.,2,HIGH,5.9
84,Snow White is a Disney media franchise based on a German fairy tale by who?,Brothers Grimm,The Brothers Grimm.,The Brothers Grimm.,The Brothers Grimm.,The Brothers Grimm.,3,HIGH,5.8
85," Harrah's Lake Tahoe is a hotel and casino owned and operated by the fourth-largest gaming company in the world, with annual revenues of what in 2013?",$8.6 billion,$8.6 billion.,$8.6 billion.,$8.6 billion.,$8.6 billion.,3,HIGH,6.9
86,"""Alvin for President"" is a song by which American animated fictional musical group?",Alvin and the Chipmunks,Alvin and the Chipmunks.,Alvin and the Chipmunks.,Alvin and the Chipmunks.,Alvin and the Chipmunks.,3,HIGH,6.8
87,Neetho starred which actress born on 1 February 1979?,Mahek Chahal,Mahek Chahal.,Mahek Chahal.,Mahek Chahal.,Mahek Chahal.,3,HIGH,5.7
88,"What were the Royal Navy Battleships, that were considered the first fast battleships and were used in WWI and WWII?","Queen Elizabeth""-class battleships","The ""Queen Elizabeth""-class battleships.","The ""Queen Elizabeth""-class battleships.",I couldn't find any information on the Royal Navy Battleships being considered the first fast battleships in WWI and WWII.,"The ""Queen Elizabeth""-class battleships were the first fast battleships, commissioned in 1915-16.",1,LOW,12.1
89,The Tama Maru No. 2 was damaged by what World War II American naval scout plane and dive bomber that was manufactured by Douglas Aircraft?,Douglas SBD Dauntless,The Douglas SBD Dauntless.,The Douglas SBD Dauntless.,The Douglas SBD Dauntless.,Douglas SBD Dauntless.,2,HIGH,8.1
90,Are Connie May Fowler and Vladimir Mayakovsky both poets?,yes,"Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.",Yes.,"Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.","Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.",2,HIGH,8.4
91,How many people died in the fire Brooklyn Theatre that was owned by Sarah Crocker Conway?,278 individuals,At least 278 people died in the fire that destroyed the Brooklyn Theatre.,At least 278 people died in the fire that destroyed the Brooklyn Theatre.,"At least 278 individuals died in the fire of the Park Theatre in Brooklyn, owned by Sarah Crocker Conway.",At least 278 individuals died in the conflagration that killed Sarah Crocker Conway.,1,LOW,10.9
92,Jack Moore played collegiately at the college in what NCAA conference?,Big Ten,The University of Oklahoma Sooners.,The University of Oklahoma Sooners.,"He played collegiately at the University of Oklahoma, which plays in the Big 12 Conference.",Big 12 Conference.,1,LOW,6.7
93,"What was the nationality of Lana Turner's co-star in ""The Three Musketeers""?",American,American.,American.,American.,American.,3,HIGH,7.1
94, Der Bärenhäuter was influenced by the German composer who created which opera?,"""Hansel and Gretel""",Heinrich August Marschner.,Engelbert Humperdinck.,Heinrich August Marschner.,Heinrich August Marschner.,2,HIGH,7.2
95,The Crocoduck was imagined by what New Zealand-born American minister?,Ray Comfort,Ray Comfort.,Ray Comfort.,Ray Comfort.,Ray Comfort.,3,HIGH,5.4
96,The racer who finished second in the 1964 French Grand Prix was this nationality?,British,British.,British.,British.,British.,3,HIGH,5.9
97,"Which astronaut is older, Philippe Perrin or André Kuipers?",André Kuipers,André Kuipers is older than Philippe Perrin.,André Kuipers is older.,André Kuipers is older than Philippe Perrin.,André Kuipers is older than Philippe Perrin.,2,HIGH,8.0
98, Michael Edward Curry served as head coach for an American Professional basketball team that has won how many NBA championchips?,three,Three.,Three.,Three.,The Detroit Pistons have won three NBA championships.,2,HIGH,5.6
99,"""The Closer I Get to You"" is a romantic ballad performed by African American jazz, soul, R&B, and folk singer-songwriter Roberta Flack and which  American jazz, blues, soul and gospel singer, songwriter, arranger and pianist, that signed with Atlantic Records in 1969?",Donny Hathaway,Donny Hathaway.,Donny Hathaway.,Donny Hathaway.,Donny Hathaway.,3,HIGH,6.6
100,The Gooden Grant House is located in what bay in Maine? ,Penobscot Bay,The Gooden Grant House is located in Penobscot Bay.,The Gooden Grant House is located in Penobscot Bay.,The Gooden Grant House is located in Penobscot Bay.,Penobscot Bay.,2,HIGH,8.6
