id,question,gold_answer,model_answer,llama_answer,qwen_answer,consensus_status,confidence,elapsed_sec,needs_review
10,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,Hermitage Castle.,Hermitage Castle.,Hermitage Castle,AGREE,HIGH,3.2,NO
11,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"Diane Bell co-wrote ""Blood"" (2012).","Diane Bell co-wrote ""Blood"" (2012).",Bleeding Heart,DISAGREE,LOW,5.5,YES
12,"Which genus has more species, Fir or Chelone?",Firs,Firs (Abies) have more species than Chelone.,Firs (Abies) have more species than Chelone.,Fir has more species.,DISAGREE,LOW,3.2,YES
13,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,Maytenus is more spread around the world.,Maytenus is more spread around the world.,Eucommia,DISAGREE,HIGH,3.2,YES
14,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","Lesane Parish Crooks, better known as Tupac Amaru Shakur, was born on June 16, 1971.","Lesane Parish Crooks, better known as Tupac Amaru Shakur, was born on June 16, 1971.","Tupac Amaru Shakur was born on June 16, 1971.",DISAGREE,LOW,8.5,YES
15,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,Macalester College.,Macalester College.,Macalester College,AGREE,HIGH,4.3,NO
16,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","Albany, New York.","Albany, New York.",Colonie,DISAGREE,HIGH,4.3,YES
17, Are Phil Mogg and Dave Peters musicians?,yes,Yes.,Yes.,Yes,AGREE,HIGH,3.6,NO
18,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","""A Long Way Home"" by Saroo Brierley.","""A Long Way Home"" by Saroo Brierley.","""A Long Way Home""",AGREE,HIGH,3.6,NO
19,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,Ushshaki was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin.,Ushshaki was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin.,Ushshaki.,DISAGREE,HIGH,5.1,YES
20,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,"There is no information about a person named Toby Williams in the provided context, but Toby Sawyer is mentioned as a British actor.","There is no information about a person named Toby Williams in the provided context, but Toby Sawyer is mentioned as a British actor.",There is no British comedy television series involving Toby Williams that fits the description.,DISAGREE,LOW,6.3,YES
21,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,"John Waite had more fame as a solo artist, with a No. 1 hit on the US Billboard Hot 100.","John Waite had more fame as a solo artist, with a No. 1 hit on the US Billboard Hot 100.",John Waite had more fame as a solo artist.,DISAGREE,LOW,5.0,YES
22,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,Sickle-cell anaemia (SCA).,Sickle-cell anaemia (SCA).,Sickle-cell anemia,DISAGREE,HIGH,3.9,YES
23,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,The special operations force of the Irish Defence Forces had access to a wide variety of specialist weapons.,The special operations force of the Irish Defence Forces had access to a wide variety of specialist weapons.,The Army Ranger Wing had access to a wide variety of specialist weapons.,DISAGREE,LOW,4.6,YES
24,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"Sutton Forest, New South Wales, Australia.","Sutton Forest, New South Wales, Australia.","The Peppers Manor House is located in Sutton Forest, New South Wales, and the New South Wales State Heritage Register is located in New South Wales, Australia.",DISAGREE,HIGH,6.6,YES
25,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,The 2010 Washington Huskies head coach works for the Atlanta Falcons.,The 2010 Washington Huskies head coach works for the Atlanta Falcons.,Atlanta Falcons,AGREE,LOW,3.8,YES
26,What country of origin does Patrick Brice and Creep have in common?,American,I don't have the information to answer this question.,I don't have the information to answer this question.,None,DISAGREE,LOW,2.9,YES
27,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"The base of the Government Communications Headquarters (GCHQ) is located in the suburbs of Cheltenham, specifically in ""The Doughnut"".","The base of the Government Communications Headquarters (GCHQ) is located in the suburbs of Cheltenham, specifically in ""The Doughnut"".","The base of one of the three main British intelligence agencies, the Government Communications Headquarters (GCHQ), is in ""The Doughnut"" in the suburbs of Cheltenham.",DISAGREE,LOW,8.8,YES
28,Where did the fairy Queen Mab orginate?  ,William Shakespeare,Irish and English legend.,Irish and English legend.,Irish and English legend,AGREE,LOW,4.1,YES
29,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,Lyric coloratura soprano.,Lyric coloratura soprano.,Lyric soprano,DISAGREE,HIGH,3.8,YES
30,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,Club Arsenal and the England national team.,Club Arsenal and the England national team.,Arsenal,AGREE,LOW,4.7,YES
31,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,The Aberdeen Bestiary is located near the River Thames.,The Aberdeen Bestiary is located near the River Thames.,The River Thames,AGREE,HIGH,3.6,NO
32,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,I cannot verify if Richard Wilson directed a film starring Ralph Fiennes and Tom Sizemore.,I cannot verify if Richard Wilson directed a film starring Ralph Fiennes and Tom Sizemore.,Ralph Nathaniel Twisleton-Wykeham-Fiennes,DISAGREE,LOW,4.6,YES
33,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,Jonestown.,Jonestown.,The album cover of Proud To Commit Commercial Suicide is a picture of the aftermath of the Peoples Temple settlement.,DISAGREE,HIGH,6.0,YES
34,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,I couldn't find any information about a person named Christoph Koncz starring as Kaspar Weiss.,I couldn't find any information about a person named Christoph Koncz starring as Kaspar Weiss.,François Girard directed the film.,DISAGREE,HIGH,3.9,YES
35,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,1994.,1994.,1994,AGREE,HIGH,5.2,NO
36,Are Monoral and Versus both rock bands?,yes,"Yes, both Monoral and Versus are rock bands.","Yes, both Monoral and Versus are rock bands.",Yes,AGREE,HIGH,2.6,NO
37,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,Kanagawa Prefecture.,Kanagawa Prefecture.,Kanagawa Prefecture,AGREE,HIGH,4.9,NO
38,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,2002.,2002.,2002,AGREE,HIGH,4.0,NO
39,Cooper pairs were first described by an American physicist born in what year?,1930,1930.,1930.,1930,AGREE,HIGH,4.3,NO
40,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,"""Jumong"".","""Jumong"".",Jumong,AGREE,HIGH,4.3,NO
41,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,Jonathan Hyde starred in The Strain.,Jonathan Hyde starred in The Strain.,Jonathan Hyde,AGREE,LOW,6.7,YES
42,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,"No, the Toy Trawler Spaniel was not introduced to France, it was an extinct breed from the 16th century.","No, the Toy Trawler Spaniel was not introduced to France, it was an extinct breed from the 16th century.",No,AGREE,LOW,3.6,YES
43,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,Medici was created by Reiner Knizia.,Medici was created by Reiner Knizia.,Medici,AGREE,HIGH,3.4,NO
44,Were George Melford and Giuseppe Tornatore both actors?,no,"No, George Melford was an actor, director, producer, and screenwriter, while Giuseppe Tornatore is a film director and screenwriter.","No, George Melford was an actor, director, producer, and screenwriter, while Giuseppe Tornatore is a film director and screenwriter.",No,AGREE,LOW,3.5,YES
45,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,Kazushi Sakuraba.,Kazushi Sakuraba.,Kazushi Sakuraba,AGREE,HIGH,5.0,NO
46,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,St Paul's Cathedral is located in London.,St Paul's Cathedral is located in London.,St Paul's Cathedral,AGREE,HIGH,4.0,NO
47,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,Tom Verlaine is older than David Vincent.,Tom Verlaine is older than David Vincent.,Tom Verlaine,AGREE,HIGH,4.0,NO
48,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,"Codding Enterprises owns the mall, and Simon Property Group is the parent company, but they also own Santa Rosa Plaza.","Codding Enterprises owns the mall, and Simon Property Group is the parent company, but they also own Santa Rosa Plaza.","Codding Enterprises owns the mall with a BAM! store in Youngstown, Ohio.",DISAGREE,LOW,5.2,YES
49,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997","June 11, 1997.","June 11, 1997.","June 11, 1997",AGREE,HIGH,5.0,NO
50,"What is the name of this 2010 American romantic comedy film directed by Garry Marshall, released February 9, 2010 via Big Machine Records?",Valentine's Day,Valentine's Day.,Valentine's Day.,Valentine's Day,AGREE,HIGH,6.0,NO
51,When was the railroad opened which is north to the Bates Pond?,1947,1947.,1947.,1947,AGREE,LOW,3.3,YES
52,"Who is Mary, Crown Princess of Denmark's mother-in-law?",Queen Margrethe II,Queen Margrethe II.,Queen Margrethe II.,Princess Benedikte of Denmark,DISAGREE,HIGH,5.3,YES
53,In what party is the president whose cabinet Francisco Javier Mayorga Castañeda serves in?,National Action Party,Felipe Calderón is a member of the National Action Party (PAN).,Felipe Calderón is a member of the National Action Party (PAN).,National Action Party (PAN),AGREE,HIGH,4.6,NO
54,What genre are both Giant Drag and Chagall Guevara?,rock,Both Giant Drag and Chagall Guevara are Indie rock bands.,Both Giant Drag and Chagall Guevara are Indie rock bands.,Both Giant Drag and Chagall Guevara are associated with rock music.,DISAGREE,HIGH,4.4,YES
55,What is the best-seller by Ruta Sepetys?,Between Shades of Gray,Between Shades of Gray is the best-seller by Ruta Sepetys.,Between Shades of Gray is the best-seller by Ruta Sepetys.,Between Shades of Gray,AGREE,HIGH,3.7,NO
56,Scary Movie 5 was released under what independent film distribution label?,Dimension Films,I couldn't find any information on Scary Movie 5's release under an independent film distribution label.,I couldn't find any information on Scary Movie 5's release under an independent film distribution label.,American Independent Film Distribution Label,DISAGREE,LOW,5.1,YES
57,"What is the population of the small town with an Air Force Base 7 mi northeast of Sacramento, California?",743,The population of McClellan Park is 743.,The population of McClellan Park is 743.,743,AGREE,LOW,5.1,YES
58,When did the coach of the Karachi Kings finish his time as coach of the Australia national cricket team ?,23 June 2013.,Mickey Arthur was sacked on 23 June 2013.,Mickey Arthur was sacked on 23 June 2013.,Mickey Arthur was sacked from the Australia national cricket team on 23 June 2013.,DISAGREE,LOW,6.1,YES
59,"What is the location of this recently retired domed stadium in the southeastern United States, which was developed by the same authority that developed the Georgia World Congress Center?","Atlanta, Georgia","Atlanta, Georgia.","Atlanta, Georgia.",The Georgia Dome,DISAGREE,HIGH,4.1,YES
60,"Which director has won an Oscar, Ron Shelton or Ken Mora?","Ronald Wayne ""Ron"" Shelton",Neither Ron Shelton nor Ken Mora has won an Oscar.,Neither Ron Shelton nor Ken Mora has won an Oscar.,Ron Shelton,AGREE,HIGH,4.0,NO
61,Were One Hundred and One Dalmatians and Fun and Fancy Free both animated films?,yes,"Yes, both One Hundred and One Dalmatians and Fun and Fancy Free are animated films.","Yes, both One Hundred and One Dalmatians and Fun and Fancy Free are animated films.",Yes,AGREE,LOW,4.5,YES
62,"A large distribution center is for a company with over 13,000 stores and what other company?",PetSmart,PetSmart.,PetSmart.,Dollar General,DISAGREE,HIGH,4.0,YES
63,In what year did the water park that Surfrider is part of rank first in Australia?,2009,2009.,2009.,2009,AGREE,HIGH,3.3,NO
64,"Ricardo Viñes, a Spanish pianist, premiered the works of Maurice Ravel, who is associated with what style?",impressionism,Impressionism.,Impressionism.,Impressionism.,AGREE,HIGH,4.5,NO
65,Which 'My Name Is Earl' star is also know for his role in a advertising campaign for OfficeMax?,Eddie Steeples,Eddie Steeples.,Eddie Steeples.,Eddie Steeples,AGREE,HIGH,4.7,NO
66,What actor starred on the Defenders in the 1960s as well as in At Mother's Request,E. G. Marshall,"I cannot verify E.G. Marshall starred in ""At Mother's Request.""","I cannot verify E.G. Marshall starred in ""At Mother's Request.""",E. G. Marshall,DISAGREE,LOW,4.6,YES
67,Are Macworld and College Humor both magazines?,no,"No, Macworld is a website, while College Humor was a magazine.","No, Macworld is a website, while College Humor was a magazine.","No, Macworld is a web site, not a magazine. College Humor was a magazine.",DISAGREE,HIGH,5.4,YES
68,"Francesco Rospigliosi Pallavicini was born in Rome, in what was then which territories in the Italian Peninsula under the sovereign direct rule of the pope, from the 8th century until 1870?",Papal States,The Papal States.,The Papal States.,The Papal States,AGREE,HIGH,4.3,NO
69,What country are both Kopparvallen and Conny Torstensson from?,Sweden,Sweden.,Sweden.,Sweden,AGREE,HIGH,2.8,NO
70,"Which film director directed the internet video serial ""God, Inc."", Roman Karmen or Francis Stokes?",Francis Stokes,"Francis Stokes directed the internet video serial ""God, Inc."".","Francis Stokes directed the internet video serial ""God, Inc."".",Francis Stokes,AGREE,HIGH,4.4,NO
71,Lisa Brennan-Jobs is the daughter of which painter and writer?,Chrisann Brennan,Lisa Brennan-Jobs is the daughter of Chrisann Brennan.,Lisa Brennan-Jobs is the daughter of Chrisann Brennan.,Chrisann Brennan,AGREE,LOW,3.3,YES
72,"Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in which location, an inlet of the Gulf of Maine and Atlantic Ocean in south central Maine?",Penobscot Bay,Penobscot Bay.,Penobscot Bay.,Penobscot Bay,AGREE,HIGH,3.4,NO
73,What communications officer was on the staff of a fleet admiral in the United States Navy?,"John ""Jack"" Roland Redman","John ""Jack"" Roland Redman.","John ""Jack"" Roland Redman.","John ""Jack"" Roland Redman was on the staff of a fleet admiral in the United States Navy.",DISAGREE,HIGH,9.2,YES
74,"Titan and Balderdash, are which specific type of entertainment?",board game,Thrill rides.,Thrill rides.,Board games,DISAGREE,HIGH,2.6,YES
75,In what state did Olivia Newton-John perform Summer Nights? ,Nevada,"None, as Olivia Newton-John's Summer Nights residency was held in Las Vegas, Nevada.","None, as Olivia Newton-John's Summer Nights residency was held in Las Vegas, Nevada.",Nevada,AGREE,LOW,3.5,YES
76,Who was an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage?,George Franklin Getty,There is no information about an American lawyer in the context.,There is no information about an American lawyer in the context.,Osceola was an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage.,DISAGREE,LOW,7.3,YES
77,"What collegiate athletic conference headquartered in Birmingham, Alabama includes schools such as Texas Southern University?",Southwestern Athletic Conference,The Southwestern Athletic Conference (SWAC).,The Southwestern Athletic Conference (SWAC).,Southwestern Athletic Conference (SWAC),AGREE,HIGH,5.0,NO
78,Foxcatcher is a 2014 American true crime sports drama film about a wrestling team set up in what state?,Pennsylvania,Pennsylvania.,Pennsylvania.,Foxcatcher is a 2014 American true crime sports drama film about a wrestling team set up in Pennsylvania.,AGREE,HIGH,7.4,NO
79,What is the nationality of the 2003 FIBA Under-19 World Championship MVP ?,Australian,There is no information about the 2003 FIBA Under-19 World Championship MVP in the provided context.,There is no information about the 2003 FIBA Under-19 World Championship MVP in the provided context.,Australian,DISAGREE,HIGH,3.4,YES
80,Did Bedtime Stories and Big Red both star Walter Pidgeon?,no,"No, Big Red starred Walter Pidgeon while Bedtime Stories did not.","No, Big Red starred Walter Pidgeon while Bedtime Stories did not.",No,AGREE,LOW,4.5,YES
81,Which political ideology was the premise of The National Action Party?,Nationalism,Nationalism.,Nationalism.,Nationalism was the premise of The National Action Party.,DISAGREE,HIGH,4.6,YES
82,"Who manages the station that serves a small town and civil parish in the Borough of Pendle Lancashire, England with a population of 8,200 as of 2011?",Northern,Northern manages the station that serves Brierfield.,Northern manages the station that serves Brierfield.,Northern manages the station.,DISAGREE,LOW,5.1,YES
83,Cindy Williams is an award-winning news anchor for a tv station whose trasmitter is located on what mountain?,Winn Mountain,Winn Mountain in Sebago.,Winn Mountain in Sebago.,Winn Mountain,AGREE,HIGH,3.3,NO
84,Snow White is a Disney media franchise based on a German fairy tale by who?,Brothers Grimm,The Brothers Grimm.,The Brothers Grimm.,The Brothers Grimm,AGREE,HIGH,4.5,NO
85," Harrah's Lake Tahoe is a hotel and casino owned and operated by the fourth-largest gaming company in the world, with annual revenues of what in 2013?",$8.6 billion,$8.6 billion.,$8.6 billion.,$8.6 billion,AGREE,HIGH,4.4,NO
86,"""Alvin for President"" is a song by which American animated fictional musical group?",Alvin and the Chipmunks,Alvin and the Chipmunks.,Alvin and the Chipmunks.,Alvin and the Chipmunks,AGREE,HIGH,3.7,NO
87,Neetho starred which actress born on 1 February 1979?,Mahek Chahal,Mahek Chahal.,Mahek Chahal.,Mahek Chahal,AGREE,HIGH,3.3,NO
88,"What were the Royal Navy Battleships, that were considered the first fast battleships and were used in WWI and WWII?","Queen Elizabeth""-class battleships","The ""Queen Elizabeth""-class battleships.","The ""Queen Elizabeth""-class battleships.","The ""Queen Elizabeth""-class battleships.",AGREE,LOW,5.1,YES
89,The Tama Maru No. 2 was damaged by what World War II American naval scout plane and dive bomber that was manufactured by Douglas Aircraft?,Douglas SBD Dauntless,The Douglas SBD Dauntless.,The Douglas SBD Dauntless.,The Tama Maru No. 2 was damaged by the Douglas SBD Dauntless.,AGREE,HIGH,6.6,NO
90,Are Connie May Fowler and Vladimir Mayakovsky both poets?,yes,"Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.","Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.",No,DISAGREE,HIGH,4.0,YES
91,How many people died in the fire Brooklyn Theatre that was owned by Sarah Crocker Conway?,278 individuals,At least 278 people died in the fire that destroyed the Brooklyn Theatre.,At least 278 people died in the fire that destroyed the Brooklyn Theatre.,278,AGREE,LOW,3.5,YES
92,Jack Moore played collegiately at the college in what NCAA conference?,Big Ten,The University of Oklahoma Sooners.,The University of Oklahoma Sooners.,Big 12 Conference,DISAGREE,LOW,2.2,YES
93,"What was the nationality of Lana Turner's co-star in ""The Three Musketeers""?",American,American.,American.,American,AGREE,HIGH,5.5,NO
94, Der Bärenhäuter was influenced by the German composer who created which opera?,"""Hansel and Gretel""",Heinrich August Marschner.,Heinrich August Marschner.,Engelbert Humperdinck,DISAGREE,HIGH,4.6,YES
95,The Crocoduck was imagined by what New Zealand-born American minister?,Ray Comfort,Ray Comfort.,Ray Comfort.,Ray Comfort,AGREE,HIGH,3.8,NO
96,The racer who finished second in the 1964 French Grand Prix was this nationality?,British,British.,British.,British,AGREE,HIGH,4.6,NO
97,"Which astronaut is older, Philippe Perrin or André Kuipers?",André Kuipers,André Kuipers is older than Philippe Perrin.,André Kuipers is older than Philippe Perrin.,André Kuipers is older.,DISAGREE,HIGH,4.4,YES
98, Michael Edward Curry served as head coach for an American Professional basketball team that has won how many NBA championchips?,three,Three.,Three.,Three,AGREE,HIGH,3.3,NO
99,"""The Closer I Get to You"" is a romantic ballad performed by African American jazz, soul, R&B, and folk singer-songwriter Roberta Flack and which  American jazz, blues, soul and gospel singer, songwriter, arranger and pianist, that signed with Atlantic Records in 1969?",Donny Hathaway,Donny Hathaway.,Donny Hathaway.,Donny Hathaway,AGREE,HIGH,4.4,NO
100,The Gooden Grant House is located in what bay in Maine? ,Penobscot Bay,The Gooden Grant House is located in Penobscot Bay.,The Gooden Grant House is located in Penobscot Bay.,The Bay of Fundy,DISAGREE,HIGH,4.1,YES
101,What non-fiction books has the author who has written books about the loyalist paramilitary Michael Stone and Special Air Service founder who During the course of the Second World War he became one of the British Army's most highly decorated soldiers?,the Troubles,"He wrote books about Michael Stone and Paddy Mayne, but the question only asks for the non-fiction books about ""the Troubles"" that are not specified.","He wrote books about Michael Stone and Paddy Mayne, but the question only asks for the non-fiction books about ""the Troubles"" that are not specified.","The author has written non-fiction books about ""the Troubles"", including books about Michael Stone and Special Air Service founder Paddy Mayne.",DISAGREE,LOW,6.7,YES
102,What country of origin does Squirrel Nut Zippers and Sponge have in common?,American,The United States.,The United States.,United States,AGREE,HIGH,4.1,NO
103,Hollywood Casino is owned by the company based in what Pennsylvania town?,Wyomissing,"Wyomissing, Pennsylvania.","Wyomissing, Pennsylvania.",Wyomissing,AGREE,HIGH,3.8,NO
104,"In which year was this American actor, director, writer, producer, dancer and musician born who directed the film ""One, Two, Many?""",1965,1965.,1965.,1965,AGREE,LOW,4.5,YES
105,The Clausius–Clapeyron relation was named after a German physicist and mathematician who is considered one of the central founders of what area of science?,the science of thermodynamics,Thermodynamics.,Thermodynamics.,Thermodynamics,AGREE,HIGH,3.9,NO
106,"When was Elvis Presley's ""G.I. Blues"" which was released for the motion picture ""G.I. Blues""'s soundtrack?",October 1960,"I cannot verify when Elvis Presley's ""G.I. Blues"" was released for the motion picture ""G.I. Blues""'s soundtrack.","I cannot verify when Elvis Presley's ""G.I. Blues"" was released for the motion picture ""G.I. Blues""'s soundtrack.",1958,DISAGREE,HIGH,4.7,YES
107,AeroLogic is a joint venture between Lufthansa and the division of what logistics company?,Deutsche Post DHL,DHL Express.,DHL Express.,AeroLogic is a joint venture between Lufthansa and Deutsche Post DHL.,DISAGREE,HIGH,6.9,YES
108,"What French formula racing driver that was 2014 Formula Renault 3.5 Series runner-up drove the Toro Rosso STR12 in 2017, a Formula One racing car designed and constructed by Scuderia Toro Rosso?",Pierre Gasly,Pierre Gasly drove the Toro Rosso STR12 in 2017.,Pierre Gasly drove the Toro Rosso STR12 in 2017.,Pierre Gasly,AGREE,HIGH,5.6,NO
109,"Amber Calling are an Australian pop punk and emo band from Adelaide, which formed in 2005 as 919, during their career they have supported shows by Panic! at the Disco, an American rock band from Las Vegas, Nevada, formed in what year?",2004,Panic! at the Disco was formed in 2004.,Panic! at the Disco was formed in 2004.,2005,DISAGREE,HIGH,4.5,YES
110,"The music program ""Yesterday"" was named after a song from what Beatles album?",Help!,"The Beatles' album ""Help!"".","The Beatles' album ""Help!"".","The Beatles album ""Help!""",DISAGREE,LOW,5.0,YES
111,The Trenton Prong is a section of the Piedmont province of what that was formed roughly 480 million years ago?,The Appalachian Mountains,The Appalachians.,The Appalachians.,The Trenton Prong is a section of the Piedmont province of the Appalachian Mountains that was formed roughly 480 million years ago.,DISAGREE,HIGH,7.1,YES
112,"Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,Transformers.,Transformers.,Transformers,AGREE,HIGH,4.1,NO
113,Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?,Serj Tankian,Serj Tankian.,Serj Tankian.,Serj Tankian,AGREE,HIGH,4.6,NO
114,Heartsounds was made into a 1984 film starring an actor who died in what year?,2014,"I do not see any information about ""Heartsounds"" in the provided context.","I do not see any information about ""Heartsounds"" in the provided context.",1984,DISAGREE,LOW,3.1,YES
115,Dean McCarthy played a boy becoming what in an adaptation of Billy Elliott? ,professional ballet dancer,A professional ballet dancer.,A professional ballet dancer.,A boy becoming a professional ballet dancer.,AGREE,HIGH,4.5,NO
116,The 3852 Democratic National Convention nominated Franklin Pierce over what American military officer who represented Michigan in the United States Senate?,Lewis Cass,Lewis Cass.,Lewis Cass.,Lewis Cass,AGREE,HIGH,4.9,NO
117,What medium-sized bear native to North America can be seen in Harriman State Park?,American black bear,"There is no information provided about Harriman State Park, so I cannot answer this question.","There is no information provided about Harriman State Park, so I cannot answer this question.",American black bear,DISAGREE,LOW,4.1,YES
118,What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,Walt Disney Productions produced both The Barefoot Executive and The Last Flight of Noah's Ark.,Walt Disney Productions produced both The Barefoot Executive and The Last Flight of Noah's Ark.,Walt Disney Productions,AGREE,LOW,4.7,YES
119,What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,Hillary Rodham Clinton served two terms representing New York in the United States Senate.,Hillary Rodham Clinton served two terms representing New York in the United States Senate.,Hillary Rodham Clinton,AGREE,HIGH,4.6,NO
120,Trim is a transitway station in the east end of a city that as of 2016 had a population of what?,"934,243","934,243.","934,243.","934,243",AGREE,HIGH,3.7,NO
121,The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?,1948 and 1964,I couldn't find any information about a person named Mark Lazarus in the provided context.,I couldn't find any information about a person named Mark Lazarus in the provided context.,1948-1964,DISAGREE,LOW,5.0,YES
