id,question,gold_answer,model_answer,elapsed_sec
30,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,"1. The question is asking which organization, club, that Daniel Nii Tackie Mensah Welbeck plays for.
2. The relevant parts of the context are the information about Daniel Nii Tackie Mensah Welbeck and Manchester United.
3. The answer is based on the context that Daniel Nii Tackie Mensah Welbeck plays for Premier League club Arsenal.

FINAL_ANSWER: Premier League club Arsenal.",15.8
31,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,"1. The question is asking for the location of the Aberdeen Bestiary library in relation to a river.
2. The relevant parts of the context are the description of the Palace of Westminster and the mention of the River Thames.
3. The answer is that the Aberdeen Bestiary library is located near the River Thames.

FINAL_ANSWER: The Aberdeen Bestiary library is located near the River Thames.",14.1
32,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,"1. The question is asking for the actor's name who is a life member of The Actors Studio, often portrays military or authority figure roles, and starred in a film directed by Richard Wilson.

2. The relevant parts of the context are:
- Thomas Robert Laughlin, Jr. (August 10, 1931 – December 12, 2013) was an American actor and director, screenwriter, author, educator, and political activist.
- The film stars RZA, Russell Crowe, Cung Le, Lucy Liu, Byron Mann, Rick Yune, Dave Bautista, and Jamie Chung.

3. The answer is not based on the provided context, as there is no information about Richard Wilson directing a film starring a life member of The Actors Studio. However, the context does mention Russell Crowe, who is a life member of The Actors Studio, and has portrayed military or authority figure roles in films.

FINAL_ANSWER: Russell Crowe",28.7
33,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,"1. The question is asking for the remote settlement that the album cover of ""Proud To Commit Commercial Suicide"" is based on.
2. The relevant parts of the context are the description of the album cover and the information about the Peoples Temple Agricultural Project (Jonestown) and its connection to Jim Jones.
3. The answer is based on the fact that the album cover is a picture of the aftermath of the infamous Jonestown suicides, which is a direct reference to the Peoples Temple Agricultural Project.

FINAL_ANSWER: Jonestown",18.7
34,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,"1. The question is asking for the director of the film ""The Red Violin"", which is the one where Christoph Koncz starred as Kaspar Weiss.
2. The relevant parts of the context are the information about ""The Red Violin"" film, specifically the director François Girard.
3. Based on the context, François Girard directed the film ""The Red Violin"", which is where Christoph Koncz starred as Kaspar Weiss.

FINAL_ANSWER: François Girard",16.5
35,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,"1. The question is asking for the year that the Provisional Irish Republican Army (IRA) ceasefire occurred.
2. The relevant parts of the context are the events leading up to the 1994 Provisional IRA ceasefire and the Good Friday Agreement of 1998.
3. The answer is based on the context, which states that the Northern Ireland peace process covers the events leading up to the 1994 Provisional IRA ceasefire.

FINAL_ANSWER: 1994",18.7
36,Are Monoral and Versus both rock bands?,yes,"1. The question is asking if both Monoral and Versus are rock bands.
2. The relevant parts of the context are the descriptions of Monoral and Versus as bands, which mention their genres as ""alternative rock"".
3. Based on the context, the answer is yes, both Monoral and Versus are rock bands.

FINAL_ANSWER: Yes, both Monoral and Versus are rock bands.",13.7
37,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,"1. The question is asking for the prefecture where the city where Akiji Kobayashi passed away is located.
2. The relevant parts of the context are the information about Akiji Kobayashi's death and the mention of Yokohama as the city where he died.
3. Based on the context, Yokohama is the city where Akiji Kobayashi passed away, and it is the capital of Kanagawa Prefecture.

FINAL_ANSWER: Kanagawa Prefecture.",17.2
38,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,"1. The question is asking for the year the Samsung Scholarship was established.
2. The relevant parts of the context are the establishment of the Samsung Scholarship in 2002 and the information about Lee Kun-hee, the chairman of Samsung Group.
3. The answer is based on the context that the Samsung Scholarship was established in 2002.

FINAL_ANSWER: 2002",13.7
39,Cooper pairs were first described by an American physicist born in what year?,1930,"1. The question is asking for the birth year of the American physicist who first described Cooper pairs.
2. The relevant parts of the context are the descriptions of Leon N Cooper and the BCS theory of superconductivity.
3. The answer is based on the fact that Leon N Cooper is described as an American physicist born on February 28, 1930.

FINAL_ANSWER: 1930",14.4
40,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,"1. The question is asking for the 2006 hit drama series that the actor, best known for his role in ""Jang Yeong-sil"", starred in.
2. The relevant parts of the context are the information about Song Il-gook, his role in ""Jumong"", and the description of ""Jang Yeong-sil"" as a 2016 South Korean historical drama television series.
3. Based on the context, the answer is that Song Il-gook starred in the 2006 hit drama series ""Jumong"".

FINAL_ANSWER: Song Il-gook starred in the 2006 hit drama series ""Jumong"".",21.6
41,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,"The question is asking which actor from The 39 Steps also starred in the series The Strain.

The relevant parts of the context are the information about Jonathan Hyde, his role in The Strain, and the fact that the context mentions the FX TV series The Strain.

The answer is based on the context, which states that Jonathan Hyde starred in The Strain.

FINAL_ANSWER: Jonathan Hyde",17.0
42,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,"1. The question is asking if both the Hanover Hound and the Toy Trawler Spaniel were introduced to France.

2. The relevant parts of the context are the descriptions of the Hanover Hound and the Toy Trawler Spaniel, but there is no mention of either breed being introduced to France.

3. Based on the context, there is no information to suggest that either the Hanover Hound or the Toy Trawler Spaniel were introduced to France.

FINAL_ANSWER: No information is available to confirm the introduction of either breed to France.",18.5
43,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,"1. The question is asking which board game was created by Reiner Knizia, Junta, or Medici.
2. The relevant parts of the context are Medici, Junta, and Reiner Knizia.
3. The answer is Medici, as it is the only game mentioned in the context that was created by Reiner Knizia.

FINAL_ANSWER: Medici",13.8
44,Were George Melford and Giuseppe Tornatore both actors?,no,"1. The question is asking if both George Melford and Giuseppe Tornatore were actors.
2. The relevant parts of the context are the descriptions of George H. Melford and Giuseppe Tornatore, which mention their roles as actors, directors, producers, and screenwriters.
3. Based on the context, the answer is yes, both George Melford and Giuseppe Tornatore were actors.

FINAL_ANSWER: Both George Melford and Giuseppe Tornatore were actors.",17.1
45,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,"1. The question is asking for the name of a Japanese mixed martial artist who worked for the Dream organization.
2. The relevant parts of the context are the descriptions of Kazushi Sakuraba and the Dream organization.
3. The answer is based on the fact that Kazushi Sakuraba is a Japanese mixed martial artist who was promoted by the Dream organization and is mentioned as one of the top-ranked fighters.

FINAL_ANSWER: Kazushi Sakuraba",16.7
46,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,"1. The question is asking which cathedral is located in London.
2. The relevant parts of the context are St Paul's Cathedral, London, and Norwich Cathedral.
3. The answer is based on the fact that St Paul's Cathedral is specifically mentioned as being located in London.

FINAL_ANSWER: St Paul's Cathedral.",12.4
47,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,"1. The question is asking for a comparison of the ages of Tom Verlaine and David Vincent.
2. The relevant parts of the context are Tom Verlaine's birthdate (December 13, 1949) and David Vincent's birthdate (April 22, 1965).
3. Based on the birthdates, Tom Verlaine is older than David Vincent.

FINAL_ANSWER: Tom Verlaine is older than David Vincent.",15.8
48,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,"1. The question is asking for the owner of a mall in Youngstown, Ohio, that has a Books-A-Million (BAM!) store.
2. The relevant parts of the context are the information about Huntington Mall, which is owned by Codding Enterprises and Simon Property Group, and the mention of Simon Property Group also owning Santa Rosa Plaza.
3. Based on the context, Simon Property Group is the owner of the mall in Youngstown, Ohio, with a BAM! store.

FINAL_ANSWER: Simon Property Group",17.3
49,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997","1. The question is asking for the birthdate of the rapper who is featured on Lil B.I.G. Pac.
2. The relevant parts of the context are the descriptions of Kodak Black and Yo Gotti.
3. The answer is based on the fact that Kodak Black is the artist featured on Lil B.I.G. Pac, and his birthdate is mentioned in the context as June 11, 1997.

FINAL_ANSWER: Kodak Black was born on June 11, 1997.",18.0
50,"What is the name of this 2010 American romantic comedy film directed by Garry Marshall, released February 9, 2010 via Big Machine Records?",Valentine's Day,"1. The question is asking for the name of the 2010 American romantic comedy film directed by Garry Marshall.
2. The relevant parts of the context are the descriptions of the film ""Valentine's Day"" and its release, as well as the information about the director Garry Marshall.
3. The answer is based on the context, which states that the film is titled ""Valentine's Day"" and was released on February 9, 2010.

FINAL_ANSWER: Valentine's Day",19.1
51,When was the railroad opened which is north to the Bates Pond?,1947,"1. The question is asking for the year the railroad was opened that is north to the Bates Pond.
2. The relevant parts of the context are Edaville Railroad and its location in relation to Bates Pond.
3. The answer is based on the context that Edaville Railroad is located south of Bates Pond, but the question specifically asks for the railroad that is north to the pond. Since there is no information about a railroad north of Bates Pond, we can infer that the question is likely referring to the Edaville Railroad, which is the only railroad mentioned in the context.

FINAL_ANSWER: The Edaville Railroad was opened in 1947.",20.6
52,"Who is Mary, Crown Princess of Denmark's mother-in-law?",Queen Margrethe II,"1. The question is asking for the identity of Mary, Crown Princess of Denmark's mother-in-law.
2. The relevant parts of the context are the information about Queen Margrethe II and her husband, Henrik, as well as the information about Queen Alexandrine and her husband, King Christian X.
3. Based on the context, Queen Margrethe II is Mary's mother-in-law, as she is the wife of Mary's husband, Frederik, Crown Prince of Denmark.

FINAL_ANSWER: Queen Margrethe II",18.6
53,In what party is the president whose cabinet Francisco Javier Mayorga Castañeda serves in?,National Action Party,"1. The question is asking for the name of the party that the president of the cabinet Francisco Javier Mayorga Castañeda serves in.
2. The relevant parts of the context are the information about Francisco Javier Mayorga Castañeda's affiliation with the National Action Party (""Partido Acción Nacional"", PAN) and his role as Secretary of Agriculture in the cabinet of President Felipe Calderón.
3. Based on the context, the answer is that Francisco Javier Mayorga Castañeda serves in the cabinet of the President of Mexico, who is a member of the National Action Party (""Partido Acción Nacional"", PAN).

FINAL_ANSWER: The National Action Party (""Partido Acción Nacional"", PAN).",22.8
54,What genre are both Giant Drag and Chagall Guevara?,rock,"1. The question is asking what genre both Giant Drag and Chagall Guevara are associated with.
2. The relevant parts of the context are the descriptions of Chagall Guevara's album and the definition of trip-hop.
3. The answer is based on the fact that Chagall Guevara's album spans several musical styles, including trip-hop, and that trip-hop is mentioned as a genre associated with the band.

FINAL_ANSWER: Both Giant Drag and Chagall Guevara are associated with the trip-hop genre.",17.4
55,What is the best-seller by Ruta Sepetys?,Between Shades of Gray,"1. The question is asking for the best-seller by Ruta Sepetys.
2. The relevant parts of the context are ""Between Shades of Gray, a New York Times Bestseller, is the debut novel of American novelist Ruta Sepetys"" and ""Between Shades of Gray, a New York Times Bestseller, is the debut novel of American novelist Ruta Sepetys.""
3. The answer is ""Between Shades of Gray"" by Ruta Sepetys.

FINAL_ANSWER: Between Shades of Gray by Ruta Sepetys.",18.1
56,Scary Movie 5 was released under what independent film distribution label?,Dimension Films,"1. The question is asking for the independent film distribution label under which Scary Movie 5 was released.
2. The relevant parts of the context are the information about the first film, American Scary, and the fact that it was written and directed by American independent filmmakers.
3. However, there is no mention of Scary Movie 5 in the context, which suggests that the question is likely incorrect or missing information.

FINAL_ANSWER: The context does not provide information on the distribution label for Scary Movie 5.",17.7
57,"What is the population of the small town with an Air Force Base 7 mi northeast of Sacramento, California?",743,"The question is asking for the population of the small town with an Air Force Base 7 miles northeast of Sacramento, California.

The relevant parts of the context are the descriptions of McClellan Air Force Base and McClellan Park.

The answer is based on the fact that McClellan Park is a census-designated place with a population of 743, and it is located near the former McClellan Air Force Base.

FINAL_ANSWER: The population of the small town with an Air Force Base 7 mi northeast of Sacramento, California is 743.",43.5
58,When did the coach of the Karachi Kings finish his time as coach of the Australia national cricket team ?,23 June 2013.,"1. The question is asking for the date when the coach of the Karachi Kings (Mickey Arthur) finished his time as coach of the Australia national cricket team.

2. The relevant parts of the context are:
- Mickey Arthur was the coach of the Australia national team.
- He was sacked on 23 June 2013.

3. The answer is based on the context, which states that Mickey Arthur was sacked on 23 June 2013, so he finished his time as coach of the Australia national cricket team on that date.

FINAL_ANSWER: 23 June 2013",19.5
59,"What is the location of this recently retired domed stadium in the southeastern United States, which was developed by the same authority that developed the Georgia World Congress Center?","Atlanta, Georgia","1. The question is asking for the location of the recently retired domed stadium in the southeastern United States.
2. The relevant parts of the context are the descriptions of the Georgia Dome and the Georgia World Congress Center Authority.
3. The answer is based on the fact that the Georgia Dome is located in Atlanta, Georgia, which is mentioned in the context as being between downtown to the east and Vine City to the west.

FINAL_ANSWER: Atlanta, Georgia.",16.4
60,"Which director has won an Oscar, Ron Shelton or Ken Mora?","Ronald Wayne ""Ron"" Shelton","1. The question is asking which director, Ron Shelton or Ken Mora, has won an Oscar.
2. The relevant parts of the context are the biographies of Ron Shelton and Ken Mora, specifically the section about Ken Mora's work on ""Reservoir Dogs"" and ""Pulp Fiction"".
3. The answer is based on the context, which states that Ken Mora won an Oscar for Best Original Screenplay at the 67th Academy Awards, along with Quentin Tarantino.

FINAL_ANSWER: Ken Mora",18.1
61,Were One Hundred and One Dalmatians and Fun and Fancy Free both animated films?,yes,"The question is asking whether both One Hundred and One Dalmatians and Fun and Fancy Free are animated films.

The relevant parts of the context are the descriptions of One Hundred and One Dalmatians and Fun and Fancy Free.

One Hundred and One Dalmatians is described as an ""animated adventure film"", which implies that it is an animated film. Fun and Fancy Free, on the other hand, is described as a ""live-action animated musical fantasy comedy package film"", which means it is a combination of live-action and animation.

FINAL_ANSWER: No, One Hundred and One Dalmatians is an animated film, but Fun and Fancy Free is a live-action animated film.",23.0
62,"A large distribution center is for a company with over 13,000 stores and what other company?",PetSmart,"1. The question is asking for the name of a company that has a large distribution center in addition to a company with over 13,000 stores.
2. The relevant parts of the context are the information about Dollar General and PetSmart.
3. The answer is based on the fact that Dollar General operates over 13,000 stores, and the context mentions a large distribution center for Dollar General and PetSmart.

FINAL_ANSWER: PetSmart",18.4
