id,question,gold_answer,model_answer,elapsed_sec,judge_verdict
59,"What is the location of this recently retired domed stadium in the southeastern United States, which was developed by the same authority that developed the Georgia World Congress Center?","Atlanta, Georgia","The Georgia Dome in Atlanta, Georgia.",2.4,CORRECT
60,"Which director has won an Oscar, Ron Shelton or Ken Mora?","Ronald Wayne ""Ron"" Shelton",Ron Shelton has won an Oscar.,2.1,HALLUCINATED
61,Were One Hundred and One Dalmatians and Fun and Fancy Free both animated films?,yes,Yes.,1.4,CORRECT
62,"A large distribution center is for a company with over 13,000 stores and what other company?",PetSmart,IKEA.,1.5,HALLUCINATED
63,In what year did the water park that Surfrider is part of rank first in Australia?,2009,I couldn't find any information on a water park that Surfrider is part of ranking first in Australia.,3.9,HALLUCINATED
64,"Ricardo Viñes, a Spanish pianist, premiered the works of Maurice Ravel, who is associated with what style?",impressionism,Impressionism.,1.8,HALLUCINATED
65,Which 'My Name Is Earl' star is also know for his role in a advertising campaign for OfficeMax?,Eddie Steeples,Jamey Kennedy.,1.7,HALLUCINATED
66,What actor starred on the Defenders in the 1960s as well as in At Mother's Request,E. G. Marshall,"I cannot verify the actor who starred in ""The Defenders"" in the 1960s and also in ""At Mother's Request"".",4.7,HALLUCINATED
67,Are Macworld and College Humor both magazines?,no,"No, Macworld is a computer magazine, while CollegeHumor is a digital media company that publishes online content.",4.0,CORRECT
68,"Francesco Rospigliosi Pallavicini was born in Rome, in what was then which territories in the Italian Peninsula under the sovereign direct rule of the pope, from the 8th century until 1870?",Papal States,The Papal States.,2.2,CORRECT
69,What country are both Kopparvallen and Conny Torstensson from?,Sweden,Sweden.,1.4,CORRECT
70,"Which film director directed the internet video serial ""God, Inc."", Roman Karmen or Francis Stokes?",Francis Stokes,"Francis Stokes directed the internet video serial ""God, Inc"".",2.8,CORRECT
71,Lisa Brennan-Jobs is the daughter of which painter and writer?,Chrisann Brennan,Steve Jobs.,1.3,HALLUCINATED
72,"Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in which location, an inlet of the Gulf of Maine and Atlantic Ocean in south central Maine?",Penobscot Bay,Goose Rocks Light is located at Popham Beach in south central Maine.,3.4,HALLUCINATED
73,What communications officer was on the staff of a fleet admiral in the United States Navy?,"John ""Jack"" Roland Redman",The Communications Officer was the senior enlisted member of the staff of a Fleet Admiral in the United States Navy.,3.9,HALLUCINATED
74,"Titan and Balderdash, are which specific type of entertainment?",board game,Board games.,1.5,CORRECT
75,In what state did Olivia Newton-John perform Summer Nights? ,Nevada,California.,1.3,HALLUCINATED
76,Who was an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage?,George Franklin Getty,William Jennings Bryan.,1.7,HALLUCINATED
77,"What collegiate athletic conference headquartered in Birmingham, Alabama includes schools such as Texas Southern University?",Southwestern Athletic Conference,The Southwestern Athletic Conference (SWAC).,2.3,CORRECT
78,Foxcatcher is a 2014 American true crime sports drama film about a wrestling team set up in what state?,Pennsylvania,Pennsylvania.,1.6,CORRECT
79,What is the nationality of the 2003 FIBA Under-19 World Championship MVP ?,Australian,I am unable to verify the nationality of the 2003 FIBA Under-19 World Championship MVP.,4.0,HALLUCINATED
80,Did Bedtime Stories and Big Red both star Walter Pidgeon?,no,"No, Walter Pidgeon did not star in both Bedtime Stories and Big Red.",3.4,CORRECT
81,Which political ideology was the premise of The National Action Party?,Nationalism,Fascism.,1.5,HALLUCINATED
82,"Who manages the station that serves a small town and civil parish in the Borough of Pendle Lancashire, England with a population of 8,200 as of 2011?",Northern,"The station that serves the small town and civil parish in the Borough of Pendle, Lancashire, England with a population of 8,200 as of 2011 is managed by Network Rail.",6.5,HALLUCINATED
83,Cindy Williams is an award-winning news anchor for a tv station whose trasmitter is located on what mountain?,Winn Mountain,I couldn't find any information about Cindy Williams being a news anchor or the location of a TV station's transmitter.,4.4,HALLUCINATED
84,Snow White is a Disney media franchise based on a German fairy tale by who?,Brothers Grimm,Brothers Grimm.,1.5,CORRECT
85," Harrah's Lake Tahoe is a hotel and casino owned and operated by the fourth-largest gaming company in the world, with annual revenues of what in 2013?",$8.6 billion,$4.8 billion.,2.3,HALLUCINATED
86,"""Alvin for President"" is a song by which American animated fictional musical group?",Alvin and the Chipmunks,Alvin and the Chipmunks.,2.1,CORRECT
87,Neetho starred which actress born on 1 February 1979?,Mahek Chahal,I cannot verify who Neetho starred with.,2.2,HALLUCINATED
88,"What were the Royal Navy Battleships, that were considered the first fast battleships and were used in WWI and WWII?","Queen Elizabeth""-class battleships",The Royal Navy's first fast battleships were the Invincible-class battleships.,3.2,HALLUCINATED
89,The Tama Maru No. 2 was damaged by what World War II American naval scout plane and dive bomber that was manufactured by Douglas Aircraft?,Douglas SBD Dauntless,The SBD Dauntless.,2.2,CORRECT
90,Are Connie May Fowler and Vladimir Mayakovsky both poets?,yes,Yes.,1.3,CORRECT
91,How many people died in the fire Brooklyn Theatre that was owned by Sarah Crocker Conway?,278 individuals,I cannot verify the exact number of people that died in the 1919 fire at the Brooklyn Theatre that was owned by Sarah Crocker Conway.,4.9,HALLUCINATED
92,Jack Moore played collegiately at the college in what NCAA conference?,Big Ten,"I couldn't find any information on a person named Jack Moore, so I don't have an answer.",3.8,HALLUCINATED
93,"What was the nationality of Lana Turner's co-star in ""The Three Musketeers""?",American,"I cannot verify who Lana Turner's co-star was in ""The Three Musketeers"".",3.4,HALLUCINATED
94, Der Bärenhäuter was influenced by the German composer who created which opera?,"""Hansel and Gretel""",Der Bärenhäuter was influenced by Richard Strauss.,2.6,HALLUCINATED
95,The Crocoduck was imagined by what New Zealand-born American minister?,Ray Comfort,The Crocoduck was imagined by Dr. Don Clayton.,2.5,HALLUCINATED
96,The racer who finished second in the 1964 French Grand Prix was this nationality?,British,Japanese.,1.3,HALLUCINATED
97,"Which astronaut is older, Philippe Perrin or André Kuipers?",André Kuipers,I couldn't find any information on an astronaut named Philippe Perrin.,2.9,HALLUCINATED
98, Michael Edward Curry served as head coach for an American Professional basketball team that has won how many NBA championchips?,three,"Michael Curry has served as the head coach of the Brooklyn Nets, but the team has not won an NBA championship.",4.4,HALLUCINATED
99,"""The Closer I Get to You"" is a romantic ballad performed by African American jazz, soul, R&B, and folk singer-songwriter Roberta Flack and which  American jazz, blues, soul and gospel singer, songwriter, arranger and pianist, that signed with Atlantic Records in 1969?",Donny Hathaway,Donny Hathaway.,2.7,CORRECT
100,The Gooden Grant House is located in what bay in Maine? ,Penobscot Bay,The Gooden Grant House is located in Penobscot Bay.,2.9,CORRECT
101,What non-fiction books has the author who has written books about the loyalist paramilitary Michael Stone and Special Air Service founder who During the course of the Second World War he became one of the British Army's most highly decorated soldiers?,the Troubles,Tom Harris has written books about Michael Stone and David Stirling.,3.4,HALLUCINATED
102,What country of origin does Squirrel Nut Zippers and Sponge have in common?,American,United States.,1.4,CORRECT
103,Hollywood Casino is owned by the company based in what Pennsylvania town?,Wyomissing,"Hollywood Casino is owned by Penn National Gaming, based in Grantville, Pennsylvania.",3.4,HALLUCINATED
104,"In which year was this American actor, director, writer, producer, dancer and musician born who directed the film ""One, Two, Many?""",1965,"I cannot verify which American actor, director, writer, producer, dancer and musician directed the film ""One, Two, Many"".",4.8,HALLUCINATED
105,The Clausius–Clapeyron relation was named after a German physicist and mathematician who is considered one of the central founders of what area of science?,the science of thermodynamics,"Rudolf Clausius and Joseph Clapeyron were both German scientists, but the area of science they both contributed to is not directly related to them both.",5.5,HALLUCINATED
106,"When was Elvis Presley's ""G.I. Blues"" which was released for the motion picture ""G.I. Blues""'s soundtrack?",October 1960,1960,1.6,CORRECT
107,AeroLogic is a joint venture between Lufthansa and the division of what logistics company?,Deutsche Post DHL,AeroLogic is a joint venture between Lufthansa and DB Schenker.,3.5,HALLUCINATED
108,"What French formula racing driver that was 2014 Formula Renault 3.5 Series runner-up drove the Toro Rosso STR12 in 2017, a Formula One racing car designed and constructed by Scuderia Toro Rosso?",Pierre Gasly,Daniel Ricciardo drove the Toro Rosso STR12 in 2017.,3.7,HALLUCINATED
109,"Amber Calling are an Australian pop punk and emo band from Adelaide, which formed in 2005 as 919, during their career they have supported shows by Panic! at the Disco, an American rock band from Las Vegas, Nevada, formed in what year?",2004,2005,2.0,HALLUCINATED
110,"The music program ""Yesterday"" was named after a song from what Beatles album?",Help!,The Beatles.,1.5,HALLUCINATED
111,The Trenton Prong is a section of the Piedmont province of what that was formed roughly 480 million years ago?,The Appalachian Mountains,The Trenton Prong is a section of the Piedmont province that was formed roughly 480 million years ago during the Silurian Period.,4.9,HALLUCINATED
112,"Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,Transformers.,2.1,CORRECT
113,Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?,Serj Tankian,Serj Tankian writes poetry and leads the heavy metal band System Of A Down.,3.8,CORRECT
114,Heartsounds was made into a 1984 film starring an actor who died in what year?,2014,"The film ""Heartsounds"" was made into a 1984 film starring Dennis Quaid, who died in 2020.",4.7,HALLUCINATED
115,Dean McCarthy played a boy becoming what in an adaptation of Billy Elliott? ,professional ballet dancer,"The title character, Billy Elliot, in the adaptation of the musical.",2.8,HALLUCINATED
116,The 3852 Democratic National Convention nominated Franklin Pierce over what American military officer who represented Michigan in the United States Senate?,Lewis Cass,"Franklin Pierce was nominated by the 1848 Democratic National Convention, representing Michigan in the United States Senate was Henry L. Casson",4.8,HALLUCINATED
117,What medium-sized bear native to North America can be seen in Harriman State Park?,American black bear,The black bear (Ursus americanus) is native to North America and can be found in Harriman State Park.,4.2,CORRECT
118,What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,Paramount Pictures.,1.6,HALLUCINATED
119,What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,Charles Evans Hughes served two terms representing New York in the United States Senate.,3.0,HALLUCINATED
120,Trim is a transitway station in the east end of a city that as of 2016 had a population of what?,"934,243",I cannot verify the population of the city as of 2016.,3.0,HALLUCINATED
121,The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?,1948 and 1964,I cannot verify the manager that served as manager for the Wolverhampton Wanderers during the years that Mark Lazarus clashed with that manager,4.7,HALLUCINATED
122,In which city did this world games take place when Squash was added as part of the world games?,"Lahti, Finland",I cannot verify in which city the world games were held when squash was added as part of the world games.,3.9,HALLUCINATED
123,Are Latina and Entrepreneur both monthly publications?,no,Yes.,1.2,HALLUCINATED
124,Are Lucie Šafářová and Pavel Složil both Czech tennis players?,yes,Yes.,1.3,CORRECT
125,What post apocalyptic action film based on a novel by Francis Lawrence was directoed by Neal H. Moritz?,I Am Legend,I couldn't find any information on a post-apocalyptic action film based on a novel by Francis Lawrence directed by Neal H. Moritz.,4.7,HALLUCINATED
126,Space Island One starred what English actress who is married to roy battersby,Judy Loe,Linda Lusardi,1.7,HALLUCINATED
127,Who directed a film that included Sarah Manninen?,Martha Coolidge,I cannot verify who directed a film that included Sarah Manninen.,2.7,HALLUCINATED
128,How much money did the owner of the 165 acre drumlin or the mansion that sits on the hill donate to the construction fund for the Benjamin Stickney Cable Memorial Hospital?,"$145,000",I couldn't find any information on the topic.,2.7,HALLUCINATED
129,Were James Lee Burke and William Faulkner from the same country?,yes,"No, James Lee Burke and William Faulkner were from different countries, with Faulkner born in Mississippi, USA and Burke born in Indiana, USA.",5.1,HALLUCINATED
130,Kentucky is located in a region of america which constitutes as what?,one of the nine Census Bureau Divisions,The region of America that Kentucky is located in is the Eastern United States.,3.0,HALLUCINATED
131,"270 Park Avenue and The Spiral, are located in which city?",New York City,New York City.,1.6,CORRECT
132,In what city is George Washington University Hospital and Psychiatric Institute of Washington located?,"Washington, D.C.","Washington, D.C.",1.6,CORRECT
133,Grazia and JJ are both what?,magazine,"Grazia and JJ are both stage names of celebrities, likely referring to Grazia Di Lorenzo and J.J. Lin, a South Korean-Canadian singer and actor.",5.3,HALLUCINATED
134,Jeremy Theobald and Christoper Nolan share what profession?,producer,Both are film directors.,1.5,HALLUCINATED
135," When was president of South Korea which  The Presidential Council on Nation Branding, Korea  lies under his direct control born ",24 January 1953,"I cannot verify who was the president of South Korea that The Presidential Council on Nation Branding, Korea lies under his direct control was born.",4.8,HALLUCINATED
136,"Danish ice hockey coach, Olaf Eller, is the father of Danish professional ice hockey player who was drafted by what team in the first round of the 2007 NHL Entry Draft?",St. Louis Blues,Lasse Kjeldsen,2.3,HALLUCINATED
137,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,Curb Your Enthusiasm.,2.3,HALLUCINATED
138,"What is the stage name for actor who co-stared the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok?",Gong Yoo,I cannot verify the actor's stage name.,2.5,HALLUCINATED
139,"The Domestic Violence Offender Gun Ban, is an amendment to the Omnibus Consolidated Appropriations Act of 1997, the act is often referred to as ""the Lautenberg Amendment"" after its sponsor, Senator Frank Lautenberg, was a United States Senator, and member of the Democratic Party, from which state?",New Jersey,New Jersey.,2.5,CORRECT
140,"Which rocket propelled weapon, sometimes referred to as the ""Stovepipe,"" did Colonel Leslie Alfred Skinner help develop?",Bazooka,The Honest John.,1.7,HALLUCINATED
141,Lars Kristinus Larsen is the founder of the largest Danish retailer operating internationally with stores in how many countries?,41,I couldn't find any information on a person named Lars Kristinus Larsen.,3.2,HALLUCINATED
142,Where is the headquarters of the company who launched the Fridge advertising campaign?,"London, England",I'm sorry but I am unable to search for this information.,2.6,HALLUCINATED
143,In what year was Louis Joseph de Frances's mother born?,1755,I couldn't find any information on Louis Joseph de Frances's mother's birth year.,3.1,HALLUCINATED
144,"The band who had the album ""Brujo"" came from what city?","San Francisco, California","The band Calexico released the album ""Brujo"", which originated from San Diego, California.",3.6,HALLUCINATED
145,Which television channel had a show set at a location adjacent to Silverado Ranch?,Travel Channel,"The CBS television channel had a show set at a location adjacent to Silverado Ranch, which was 2 Broke Girls.",4.3,HALLUCINATED
146,What television adaptation contains a character who was also adapted into a 2005 superhero film?,Gotham,The character is Daredevil.,1.9,HALLUCINATED
147,"What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?","Daytona Beach, Florida","South Padre Island, Texas.",2.1,HALLUCINATED
148,"The 2011 Copa del Rey was a specific type of rivalry, given this name to any match between which groups?",Real Madrid and FC Barcelona,A match between Spanish La Liga club and Spanish Segunda División club.,3.1,HALLUCINATED
149,"Youthquake is the second album by the British pop group Dead or Alive, released in May 1985, the album was their commercial breakthrough in Europe and the United States, due to which lead single, which was the song was the first UK number-one hit by the Stock Aitken Waterman production trio?",You Spin Me Round (Like a Record),"""The Promise""",2.3,HALLUCINATED
