id,question,gold_answer,model_answer,elapsed_sec,judge_verdict
33,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,Jonestown.,6.7,CORRECT
34,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,"François Girard directed the film ""The Red Violin"".",6.9,HALLUCINATED
35,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,1994.,8.1,CORRECT
36,Are Monoral and Versus both rock bands?,yes,Yes.,4.1,CORRECT
37,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,Kanagawa Prefecture.,7.1,CORRECT
38,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,2002.,6.5,HALLUCINATED
39,Cooper pairs were first described by an American physicist born in what year?,1930,1930.,6.6,CORRECT
40,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,"""Jumong"".",7.0,CORRECT
41,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,Jonathan Hyde starred in The Strain.,11.6,HALLUCINATED
42,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,"No, there is no mention of either breed being introduced to France.",8.0,CORRECT
43,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,Medici.,5.7,HALLUCINATED
44,Were George Melford and Giuseppe Tornatore both actors?,no,"No, Giuseppe Tornatore was not both an actor and a film director, he was only a film director and screenwriter.",9.0,HALLUCINATED
45,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,"Several Japanese mixed martial artists, including Shinya Aoki, Tatsuya Kawajiri, Kazushi Sakuraba, and Gesias Cavalcante, worked for the Dream organization.",12.8,HALLUCINATED
46,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,St Paul's Cathedral.,6.7,CORRECT
47,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,Tom Verlaine is older.,6.6,HALLUCINATED
48,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,Codding Enterprises owns the mall.,6.4,HALLUCINATED
49,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997","June 11, 1997.",7.6,HALLUCINATED
50,"What is the name of this 2010 American romantic comedy film directed by Garry Marshall, released February 9, 2010 via Big Machine Records?",Valentine's Day,Valentine's Day.,9.7,CORRECT
51,When was the railroad opened which is north to the Bates Pond?,1947,1947.,5.3,CORRECT
52,"Who is Mary, Crown Princess of Denmark's mother-in-law?",Queen Margrethe II,Queen Margrethe II of Denmark.,8.6,CORRECT
53,In what party is the president whose cabinet Francisco Javier Mayorga Castañeda serves in?,National Action Party,The PAN.,6.7,CORRECT
54,What genre are both Giant Drag and Chagall Guevara?,rock,Both are Indie rock bands.,5.0,HALLUCINATED
55,What is the best-seller by Ruta Sepetys?,Between Shades of Gray,Between Shades of Gray is a New York Times Bestseller.,7.1,HALLUCINATED
56,Scary Movie 5 was released under what independent film distribution label?,Dimension Films,I couldn't find any information about Scary Movie 5's release under an independent film distribution label.,9.0,HALLUCINATED
57,"What is the population of the small town with an Air Force Base 7 mi northeast of Sacramento, California?",743,743.,7.7,CORRECT
58,When did the coach of the Karachi Kings finish his time as coach of the Australia national cricket team ?,23 June 2013.,On 23 June 2013.,6.8,CORRECT
59,"What is the location of this recently retired domed stadium in the southeastern United States, which was developed by the same authority that developed the Georgia World Congress Center?","Atlanta, Georgia","Atlanta, Georgia, between downtown to the east and Vine City to the west.",8.5,HALLUCINATED
60,"Which director has won an Oscar, Ron Shelton or Ken Mora?","Ronald Wayne ""Ron"" Shelton",Quentin Tarantino.,6.6,HALLUCINATED
61,Were One Hundred and One Dalmatians and Fun and Fancy Free both animated films?,yes,"Yes, both One Hundred and One Dalmatians and Fun and Fancy Free were animated films.",10.1,CORRECT
62,"A large distribution center is for a company with over 13,000 stores and what other company?",PetSmart,PetSmart.,5.7,HALLUCINATED
63,In what year did the water park that Surfrider is part of rank first in Australia?,2009,2009.,5.1,CORRECT
64,"Ricardo Viñes, a Spanish pianist, premiered the works of Maurice Ravel, who is associated with what style?",impressionism,Impressionism.,7.6,HALLUCINATED
65,Which 'My Name Is Earl' star is also know for his role in a advertising campaign for OfficeMax?,Eddie Steeples,Eddie Steeples.,7.9,HALLUCINATED
66,What actor starred on the Defenders in the 1960s as well as in At Mother's Request,E. G. Marshall,I cannot verify the answer based on the provided context.,8.1,HALLUCINATED
67,Are Macworld and College Humor both magazines?,no,"No, Macworld is a website.",5.9,HALLUCINATED
68,"Francesco Rospigliosi Pallavicini was born in Rome, in what was then which territories in the Italian Peninsula under the sovereign direct rule of the pope, from the 8th century until 1870?",Papal States,The Papal States.,7.1,CORRECT
69,What country are both Kopparvallen and Conny Torstensson from?,Sweden,Sweden.,5.0,CORRECT
70,"Which film director directed the internet video serial ""God, Inc."", Roman Karmen or Francis Stokes?",Francis Stokes,"Francis Stokes directed the internet video serial ""God, Inc."".",8.5,CORRECT
71,Lisa Brennan-Jobs is the daughter of which painter and writer?,Chrisann Brennan,Chrisann Brennan.,5.7,HALLUCINATED
72,"Goose Rocks Light is a sparkplug lighthouse located near North Haven, Maine in which location, an inlet of the Gulf of Maine and Atlantic Ocean in south central Maine?",Penobscot Bay,Penobscot Bay.,5.4,CORRECT
73,What communications officer was on the staff of a fleet admiral in the United States Navy?,"John ""Jack"" Roland Redman","John ""Jack"" Roland Redman.",12.1,CORRECT
74,"Titan and Balderdash, are which specific type of entertainment?",board game,Rides.,4.5,HALLUCINATED
75,In what state did Olivia Newton-John perform Summer Nights? ,Nevada,"There is no mention of Olivia Newton-John performing ""Summer Nights"" in the provided context.",8.0,HALLUCINATED
76,Who was an American lawyer with a family of Scots-Irish ancestry of the Methodist faith from the patrilineal lineage?,George Franklin Getty,There is no information provided about an American lawyer with a family of Scots-Irish ancestry of the Methodist faith in the context.,10.3,HALLUCINATED
77,"What collegiate athletic conference headquartered in Birmingham, Alabama includes schools such as Texas Southern University?",Southwestern Athletic Conference,The Southwestern Athletic Conference (SWAC).,8.0,CORRECT
78,Foxcatcher is a 2014 American true crime sports drama film about a wrestling team set up in what state?,Pennsylvania,Pennsylvania.,8.1,CORRECT
79,What is the nationality of the 2003 FIBA Under-19 World Championship MVP ?,Australian,I couldn't find the answer in the provided context.,6.9,HALLUCINATED
80,Did Bedtime Stories and Big Red both star Walter Pidgeon?,no,"No, Big Red starred Walter Pidgeon, but it is not mentioned that Big Red starred Walter Pidgeon in Bedtime Stories.",11.0,HALLUCINATED
81,Which political ideology was the premise of The National Action Party?,Nationalism,Nationalism.,6.0,CORRECT
82,"Who manages the station that serves a small town and civil parish in the Borough of Pendle Lancashire, England with a population of 8,200 as of 2011?",Northern,Northern manages Brierfield railway station.,8.4,HALLUCINATED
83,Cindy Williams is an award-winning news anchor for a tv station whose trasmitter is located on what mountain?,Winn Mountain,Winn Mountain in Sebago.,5.5,HALLUCINATED
84,Snow White is a Disney media franchise based on a German fairy tale by who?,Brothers Grimm,The Brothers Grimm.,6.4,HALLUCINATED
85," Harrah's Lake Tahoe is a hotel and casino owned and operated by the fourth-largest gaming company in the world, with annual revenues of what in 2013?",$8.6 billion,$8.6 billion.,7.4,CORRECT
86,"""Alvin for President"" is a song by which American animated fictional musical group?",Alvin and the Chipmunks,Alvin and the Chipmunks.,6.0,CORRECT
87,Neetho starred which actress born on 1 February 1979?,Mahek Chahal,Mahek Chahal.,5.4,HALLUCINATED
88,"What were the Royal Navy Battleships, that were considered the first fast battleships and were used in WWI and WWII?","Queen Elizabeth""-class battleships",There is no mention of the Royal Navy Battleships being used in WWI and WWII in the context.,9.8,HALLUCINATED
89,The Tama Maru No. 2 was damaged by what World War II American naval scout plane and dive bomber that was manufactured by Douglas Aircraft?,Douglas SBD Dauntless,The Douglas SBD Dauntless.,8.2,CORRECT
90,Are Connie May Fowler and Vladimir Mayakovsky both poets?,yes,"Yes, both Connie May Fowler and Vladimir Mayakovsky are poets.",8.4,CORRECT
91,How many people died in the fire Brooklyn Theatre that was owned by Sarah Crocker Conway?,278 individuals,At least 278 individuals died in the fire.,6.5,CORRECT
92,Jack Moore played collegiately at the college in what NCAA conference?,Big Ten,The Big 12 Conference.,3.8,HALLUCINATED
93,"What was the nationality of Lana Turner's co-star in ""The Three Musketeers""?",American,Gene Kelly.,9.2,HALLUCINATED
94, Der Bärenhäuter was influenced by the German composer who created which opera?,"""Hansel and Gretel""",Heinrich August Marschner.,7.1,HALLUCINATED
95,The Crocoduck was imagined by what New Zealand-born American minister?,Ray Comfort,Ray Comfort.,6.1,CORRECT
96,The racer who finished second in the 1964 French Grand Prix was this nationality?,British,British.,7.8,CORRECT
97,"Which astronaut is older, Philippe Perrin or André Kuipers?",André Kuipers,André Kuipers is older.,7.0,CORRECT
98, Michael Edward Curry served as head coach for an American Professional basketball team that has won how many NBA championchips?,three,Three.,5.5,CORRECT
99,"""The Closer I Get to You"" is a romantic ballad performed by African American jazz, soul, R&B, and folk singer-songwriter Roberta Flack and which  American jazz, blues, soul and gospel singer, songwriter, arranger and pianist, that signed with Atlantic Records in 1969?",Donny Hathaway,Donny Hathaway.,7.4,CORRECT
100,The Gooden Grant House is located in what bay in Maine? ,Penobscot Bay,The Bay of Fundy.,7.0,HALLUCINATED
101,What non-fiction books has the author who has written books about the loyalist paramilitary Michael Stone and Special Air Service founder who During the course of the Second World War he became one of the British Army's most highly decorated soldiers?,the Troubles,"Books about the loyalist paramilitary Michael Stone and Special Air Service founder Paddy Mayne are mentioned, but the specific titles are not mentioned in the provided context.",10.4,HALLUCINATED
102,What country of origin does Squirrel Nut Zippers and Sponge have in common?,American,The United States.,7.1,CORRECT
103,Hollywood Casino is owned by the company based in what Pennsylvania town?,Wyomissing,"Wyomissing, Pennsylvania.",6.6,CORRECT
104,"In which year was this American actor, director, writer, producer, dancer and musician born who directed the film ""One, Two, Many?""",1965,1965.,7.7,CORRECT
105,The Clausius–Clapeyron relation was named after a German physicist and mathematician who is considered one of the central founders of what area of science?,the science of thermodynamics,Thermodynamics.,6.4,CORRECT
106,"When was Elvis Presley's ""G.I. Blues"" which was released for the motion picture ""G.I. Blues""'s soundtrack?",October 1960,"I couldn't find any information on Elvis Presley's ""G.I. Blues"" from the context provided.",10.1,HALLUCINATED
107,AeroLogic is a joint venture between Lufthansa and the division of what logistics company?,Deutsche Post DHL,DHL Express.,8.5,HALLUCINATED
108,"What French formula racing driver that was 2014 Formula Renault 3.5 Series runner-up drove the Toro Rosso STR12 in 2017, a Formula One racing car designed and constructed by Scuderia Toro Rosso?",Pierre Gasly,Pierre Gasly.,8.7,CORRECT
109,"Amber Calling are an Australian pop punk and emo band from Adelaide, which formed in 2005 as 919, during their career they have supported shows by Panic! at the Disco, an American rock band from Las Vegas, Nevada, formed in what year?",2004,Panic! at the Disco was formed in 2004.,8.5,HALLUCINATED
110,"The music program ""Yesterday"" was named after a song from what Beatles album?",Help!,"The song from the Beatles album that the music program ""Yesterday"" was named after is ""Help!"".",10.2,HALLUCINATED
111,The Trenton Prong is a section of the Piedmont province of what that was formed roughly 480 million years ago?,The Appalachian Mountains,The Appalachian Mountains.,6.6,CORRECT
112,"Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,Transformers.,6.9,CORRECT
113,Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?,Serj Tankian,Serj Tankian.,7.8,CORRECT
114,Heartsounds was made into a 1984 film starring an actor who died in what year?,2014,No answer can be determined from the provided context.,5.8,HALLUCINATED
115,Dean McCarthy played a boy becoming what in an adaptation of Billy Elliott? ,professional ballet dancer,A professional ballet dancer.,6.6,CORRECT
116,The 3852 Democratic National Convention nominated Franklin Pierce over what American military officer who represented Michigan in the United States Senate?,Lewis Cass,Lewis Cass.,8.2,CORRECT
117,What medium-sized bear native to North America can be seen in Harriman State Park?,American black bear,I couldn't find any information about a medium-sized bear native to North America being associated with Harriman State Park.,9.6,HALLUCINATED
118,What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,Walt Disney Productions.,7.8,CORRECT
119,What politician from New York served two terms representing New York in the United States Senate? ,Hillary Rodham Clinton,Hillary Rodham Clinton.,7.4,CORRECT
120,Trim is a transitway station in the east end of a city that as of 2016 had a population of what?,"934,243","934,243.",5.0,CORRECT
121,The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?,1948 and 1964,I couldn't find any information about a person named Mark Lazarus in the provided context.,8.6,HALLUCINATED
122,In which city did this world games take place when Squash was added as part of the world games?,"Lahti, Finland","Lahti, Finland",7.5,CORRECT
123,Are Latina and Entrepreneur both monthly publications?,no,"No, the context does not indicate that Latina is a monthly publication.",6.9,HALLUCINATED
124,Are Lucie Šafářová and Pavel Složil both Czech tennis players?,yes,"Yes, both Lucie Šafářová and Pavel Složil are Czech tennis players.",7.6,CORRECT
125,What post apocalyptic action film based on a novel by Francis Lawrence was directoed by Neal H. Moritz?,I Am Legend,I couldn't find any information that matches the given context with the question.,7.4,HALLUCINATED
126,Space Island One starred what English actress who is married to roy battersby,Judy Loe,"I couldn't find any information on the actress being married to Roy Battersby, and the context does not mention her being married to him.",10.0,HALLUCINATED
127,Who directed a film that included Sarah Manninen?,Martha Coolidge,"Martha Coolidge directed the film ""The Prince and Me"", which included Sarah Manninen.",8.0,HALLUCINATED
128,How much money did the owner of the 165 acre drumlin or the mansion that sits on the hill donate to the construction fund for the Benjamin Stickney Cable Memorial Hospital?,"$145,000",The context does not contain any information about a donation to the Benjamin Stickney Cable Memorial Hospital.,8.4,HALLUCINATED
129,Were James Lee Burke and William Faulkner from the same country?,yes,"No, they were not from the same country.",7.1,HALLUCINATED
130,Kentucky is located in a region of america which constitutes as what?,one of the nine Census Bureau Divisions,East South Central States.,6.0,HALLUCINATED
131,"270 Park Avenue and The Spiral, are located in which city?",New York City,New York City.,6.4,CORRECT
132,In what city is George Washington University Hospital and Psychiatric Institute of Washington located?,"Washington, D.C.","Washington, D.C.",5.0,CORRECT
133,Grazia and JJ are both what?,magazine,magazines.,5.9,HALLUCINATED
134,Jeremy Theobald and Christoper Nolan share what profession?,producer,"Film director, producer, and screenwriter.",7.5,HALLUCINATED
135," When was president of South Korea which  The Presidential Council on Nation Branding, Korea  lies under his direct control born ",24 January 1953,"I cannot verify when the President of South Korea which The Presidential Council on Nation Branding, Korea  lies under his direct control was born.",10.3,HALLUCINATED
136,"Danish ice hockey coach, Olaf Eller, is the father of Danish professional ice hockey player who was drafted by what team in the first round of the 2007 NHL Entry Draft?",St. Louis Blues,St. Louis Blues.,9.3,CORRECT
137,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"""Sex and the City"" (1998–2004).",11.0,HALLUCINATED
138,"What is the stage name for actor who co-stared the 2016 film ""Train to Busan"" with Jung Yu-mi and Ma Dong-seok?",Gong Yoo,Gong Ji-chul.,7.8,HALLUCINATED
139,"The Domestic Violence Offender Gun Ban, is an amendment to the Omnibus Consolidated Appropriations Act of 1997, the act is often referred to as ""the Lautenberg Amendment"" after its sponsor, Senator Frank Lautenberg, was a United States Senator, and member of the Democratic Party, from which state?",New Jersey,New Jersey.,8.2,CORRECT
140,"Which rocket propelled weapon, sometimes referred to as the ""Stovepipe,"" did Colonel Leslie Alfred Skinner help develop?",Bazooka,The bazooka.,6.5,CORRECT
141,Lars Kristinus Larsen is the founder of the largest Danish retailer operating internationally with stores in how many countries?,41,41 countries.,6.6,CORRECT
142,Where is the headquarters of the company who launched the Fridge advertising campaign?,"London, England","London, England.",4.6,CORRECT
143,In what year was Louis Joseph de Frances's mother born?,1755,1755.,6.2,HALLUCINATED
144,"The band who had the album ""Brujo"" came from what city?","San Francisco, California",San Francisco.,5.3,HALLUCINATED
145,Which television channel had a show set at a location adjacent to Silverado Ranch?,Travel Channel,ABC.,5.8,HALLUCINATED
146,What television adaptation contains a character who was also adapted into a 2005 superhero film?,Gotham,"The ""Justice League"" animated series contains a character who was also adapted into a 2013 superhero film, ""Man of Steel"".",10.0,HALLUCINATED
147,"What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?","Daytona Beach, Florida","Daytona Beach, Florida and Palm Springs, California.",7.4,HALLUCINATED
148,"The 2011 Copa del Rey was a specific type of rivalry, given this name to any match between which groups?",Real Madrid and FC Barcelona,Real Madrid and FC Barcelona.,7.8,CORRECT
149,"Youthquake is the second album by the British pop group Dead or Alive, released in May 1985, the album was their commercial breakthrough in Europe and the United States, due to which lead single, which was the song was the first UK number-one hit by the Stock Aitken Waterman production trio?",You Spin Me Round (Like a Record),"""You Spin Me Round (Like a Record)""",9.2,CORRECT
