id,question,gold_answer,model_answer,elapsed_sec
15,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,"1. The question is asking for the name of the private, coeducational liberal arts college where Melvin Earl Duncan holds a degree.
2. The relevant parts of the context are the descriptions of Macalester College and Melvin Earl Duncan's educational background.
3. Based on the context, Macalester College is the private, coeducational liberal arts college where Melvin Earl Duncan holds a degree.

FINAL_ANSWER: Macalester College",20.5
16,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","The question is asking for the town where the 1987 American drama film Ironweed was shot on location, specifically mentioning a 400-acre pastoral cemetery.

The relevant parts of the context are the information about Ironweed being shot on location in Albany, New York, and the description of the Albany Rural Cemetery as a 400-acre pastoral cemetery.

The answer is based on the context, which states that major portions of the film were shot on location in Albany, New York, including the Albany Rural Cemetery.

FINAL_ANSWER: Albany, New York.",23.7
17, Are Phil Mogg and Dave Peters musicians?,yes,"The question is asking if Phil Mogg and Dave Peters are musicians.

The relevant parts of the context are the descriptions of Phil Mogg as the lead singer of the English rock band UFO and Dave Peters as the vocalist for the band Throwdown.

Based on this context, the answer is that yes, both Phil Mogg and Dave Peters are musicians.

FINAL_ANSWER: Phil Mogg and Dave Peters are musicians.",18.0
18,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","The question is asking for the non-fiction book that the film ""Lion"" is based on.

The relevant parts of the context are the description of the film ""Lion"" and the information about the book ""A Long Way Home"" by Saroo Brierley.

The answer is based on the context, which states that the film ""Lion"" is based on the non-fiction book ""A Long Way Home"" by Saroo Brierley.

FINAL_ANSWER: The non-fiction book ""A Long Way Home"" by Saroo Brierley.",21.7
19,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,"The question is asking for the name of a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with a connection to the cousin and son-in-law of Muhammad.

The relevant parts of the context are Ushshaki, which is mentioned as a branch of the Khalwatiyya order, and Ali, who is described as the cousin and son-in-law of Muhammad.

Based on this information, the answer is that Ushshaki is a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad.

FINAL_ANSWER: Ushshaki is a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin.",32.1
20,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,"1. The question is asking which British comedy television series Toby Sawyer appeared in, not Toby Williams.
2. The relevant parts of the context are the information about Toby Sawyer, the series ""Ted Fenwick"", and the co-producers of the series.
3. The answer is that Toby Sawyer appeared in the series ""Ted Fenwick"", which was co-produced by the BBC and HBO.

FINAL_ANSWER: Toby Sawyer appeared in the series ""Ted Fenwick"".",21.4
21,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,"The question is asking who had more fame as a solo artist between Jacoby Shaddix and John Waite.

The relevant parts of the context are the descriptions of John Waite's solo career, specifically his 1984 hit ""Missing You"", and Jacoby Shaddix's lack of notable solo work.

Based on the context, John Waite had more fame as a solo artist, as his 1984 hit ""Missing You"" was a No. 1 hit on the US ""Billboard"" Hot 100 and a top ten hit on the UK Singles Chart.

FINAL_ANSWER: John Waite had more fame as a solo artist.",27.8
22,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,"The question is asking for another name for the blood disorder that Emmanuel Ntima Weyi founded a non-profit in support of.

The relevant parts of the context are the Colorado Sickle Cell Foundation, which is a non-profit organization founded by Emmanuel Ntima Weyi, and the description of sickle-cell disease (SCD) as a group of blood disorders typically inherited from a person's parents.

Based on this context, the answer is that Emmanuel Ntima Weyi founded a non-profit in support of sickle-cell disease.

FINAL_ANSWER: Sickle-cell disease (SCD) is also known as sickle-cell anaemia (SCA).",25.4
23,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,"The question is asking about the modern weapons available to the special operations force of the Irish Defence Forces.

The relevant parts of the context are the description of the Army Ranger Wing and the mention of the Royal Irish Regiment.

The answer is that the special operations force of the Irish Defence Forces, the Army Ranger Wing, has access to a wide variety of specialist weapons.

FINAL_ANSWER: The Army Ranger Wing has access to a wide variety of specialist weapons.",18.4
24,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"The question is asking for the location of the Peppers Manor House and the New South Wales State Heritage Register.

The relevant parts of the context are the descriptions of the Peppers Manor House and the New South Wales State Heritage Register.

The answer is based on the fact that the Peppers Manor House is located in Sutton Forest, New South Wales, Australia, and the New South Wales State Heritage Register is a list of places in the state of New South Wales, Australia.

FINAL_ANSWER: The Peppers Manor House and the New South Wales State Heritage Register are located in New South Wales, Australia.",22.4
25,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,"The question is asking for the NFL team that the 2010 Washington Huskies head coach works for.

The relevant parts of the context are the information about Steve Sarkisian, the 2010 Washington Huskies football team, and the current position of Steve Sarkisian.

The answer is that the 2010 Washington Huskies head coach, Steve Sarkisian, works for the Atlanta Falcons of the National Football League (NFL).

FINAL_ANSWER: The Atlanta Falcons.",20.6
26,What country of origin does Patrick Brice and Creep have in common?,American,"The question is asking for the country of origin that Patrick Brice and Creep have in common.

The relevant parts of the context are the information about Kevin McCormack, who is an Irish dancer, and the Kerry Blue Terrier, which is a breed of dog originating from Ireland.

The answer is that Ireland is the country of origin that Patrick Brice and Creep have in common, as Kevin McCormack is an Irish dancer and the Kerry Blue Terrier is a breed of dog originating from Ireland.

FINAL_ANSWER: Ireland",24.6
27,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"The question is asking for the location of the base of one of the three main British intelligence agencies.

The relevant parts of the context are the descriptions of the Government Communications Headquarters (GCHQ) and the Research and Analysis Wing (R&AW).

The answer is based on the context, which states that GCHQ is based in ""The Doughnut"" in the suburbs of Cheltenham.

FINAL_ANSWER: The base of the Government Communications Headquarters (GCHQ) is located in Cheltenham.",26.7
28,Where did the fairy Queen Mab orginate?  ,William Shakespeare,"The question is asking about the origin of the fairy Queen Mab.

The relevant parts of the context are the description of Queen Mab as a fairy in Irish and English legend, and her reference in William Shakespeare's play ""Romeo and Juliet"".

Based on this context, it can be inferred that Queen Mab is a figure from Irish and English folklore, but the context does not provide specific information about her origin or where she originated from. It only mentions her association with the fairy queen in Irish and English legend.

FINAL_ANSWER: The origin of Queen Mab is not specified in the provided context.",26.4
29,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,"1. The question is asking about the type of soprano Emma Matthews is famous for.
2. The relevant parts of the context are the descriptions of Emma Matthews and the definition of a lyric soprano.
3. Based on the context, Emma Matthews is famous for being a lyric coloratura soprano.

FINAL_ANSWER: Emma Matthews is famous for being a lyric coloratura soprano.",18.7
30,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,"The question is asking which organization, club, that Daniel Nii Tackie Mensah Welbeck plays for.

The relevant parts of the context are the information about Daniel Nii Tackie Mensah Welbeck, specifically that he plays for Premier League club Arsenal and the England national team.

The answer is based on the context, which states that Daniel Nii Tackie Mensah Welbeck plays for Premier League club Arsenal.

FINAL_ANSWER: Premier League club Arsenal.",22.8
31,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,"The question is asking for the location of the Aberdeen Bestiary library in relation to a river.

The relevant parts of the context are the description of the Palace of Westminster and the mention of the River Thames.

The answer is that the Aberdeen Bestiary library is located near the River Thames.

FINAL_ANSWER: The Aberdeen Bestiary library is located near the River Thames.",20.0
32,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,"1. The question is asking for the actor's name who is a life member of The Actors Studio, often portrays military or authority figure roles, and starred in a film directed by Richard Wilson.

2. The relevant parts of the context are:
- Thomas Robert Laughlin, Jr. (August 10, 1931 – December 12, 2013) was an American actor and director, screenwriter, author, educator, and political activist.
- The film stars RZA, Russell Crowe, Cung Le, Lucy Liu, Byron Mann, Rick Yune, Dave Bautista, and Jamie Chung.

3. The answer is not based on the provided context, as there is no information about Richard Wilson directing a film starring a life member of The Actors Studio. However, the context does mention Thomas Laughlin, who was a life member of The Actors Studio, but it does not provide information about him starring in a film directed by Richard Wilson.

FINAL_ANSWER: There is not enough information to answer this question.",40.6
33,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,"The question is asking for the remote settlement that the album cover of ""Proud To Commit Commercial Suicide"" is based on.

The relevant parts of the context are the description of the album cover and the information about the Peoples Temple Agricultural Project, also known as Jonestown.

The answer is based on the context, which states that the album cover is a picture of the aftermath of the infamous Jonestown suicides.

FINAL_ANSWER: The album cover is a picture of the aftermath of the Jonestown suicides.",22.5
34,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,"1. The question is asking for the director of the film ""The Red Violin"", which is the one in which Christoph Koncz starred as Kaspar Weiss.
2. The relevant parts of the context are the information about the film ""The Red Violin"" and the director François Girard.
3. Based on the context, François Girard directed the film ""The Red Violin"", which is the one in which Kaspar Weiss was played by Christoph Koncz.

FINAL_ANSWER: François Girard directed the film ""The Red Violin"".",22.6
35,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,"The question is asking for the year that the events leading up to the Provisional Irish Republican Army (IRA) ceasefire are considered to cover.

The relevant parts of the context are the events leading up to the 1994 Provisional Irish Republican Army (IRA) ceasefire and the Good Friday (or Belfast) Agreement of 1998.

The answer is based on the context, which states that the Northern Ireland peace process is often considered to cover the events leading up to the 1994 Provisional Irish Republican Army (IRA) ceasefire.

FINAL_ANSWER: 1994",26.0
36,Are Monoral and Versus both rock bands?,yes,"The question is asking if both Monoral and Versus are rock bands.

The relevant parts of the context are the descriptions of Monoral and Versus as alternative rock bands.

Based on the context, Monoral and Versus are both described as alternative rock bands, which implies that they are both rock bands.

FINAL_ANSWER: Monoral and Versus are both rock bands.",16.1
37,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,"The question is asking for the prefecture where the city where the Japanese actor Akiji Kobayashi passed away is located.

The relevant parts of the context are the biographical information about Akiji Kobayashi, specifically that he died of lung cancer in Yokohama.

The answer is based on the fact that Yokohama is mentioned as the city where Akiji Kobayashi died, and it is also stated that it is the capital city of Kanagawa Prefecture.

FINAL_ANSWER: Kanagawa Prefecture.",23.2
38,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,"The question is asking for the year the Samsung Scholarship was established.

The relevant parts of the context are the establishment of the Samsung Scholarship in 2002 and the information about Lee Kun-hee, the chairman of Samsung Group.

The answer is based on the context, which states that the Samsung Scholarship was established in 2002.

FINAL_ANSWER: 2002",17.6
39,Cooper pairs were first described by an American physicist born in what year?,1930,"The question is asking for the birth year of the American physicist who first described Cooper pairs.

The relevant parts of the context are the descriptions of Leon N. Cooper and the BCS theory of superconductivity.

The answer is based on the context, which states that Leon N. Cooper is an American physicist and Nobel Prize laureate, and that he developed the BCS theory of superconductivity. Since the question specifically asks for the birth year of the American physicist who first described Cooper pairs, the answer is 1930.

FINAL_ANSWER: Leon N. Cooper was born in 1930.",24.2
40,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,"The question is asking for the 2006 hit drama series that the actor starring in Jang Yeong-sil is best known for.

The relevant parts of the context are the information about Song Il-gook, his role in the 2006 hit drama series ""Jumong"", and his birthdate.

The answer is based on the context, which states that Song Il-gook is best known for his role in the 2006 hit drama series ""Jumong"".

FINAL_ANSWER: Song Il-gook is best known for his role in the 2006 hit drama series ""Jumong"".",25.1
41,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,"The question is asking which actor from The 39 Steps also starred in the series The Strain.

The relevant parts of the context are the information about Jonathan Hyde, his roles, and the series The Strain.

The answer is based on the context, which mentions Jonathan Hyde as the actor who played Eldritch Palmer in The Strain.

FINAL_ANSWER: Jonathan Hyde.",22.1
42,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,"The question is asking if both the Hanover Hound and the Toy Trawler Spaniel were introduced to France.

The relevant parts of the context are the descriptions of the Hanover Hound and the Toy Trawler Spaniel, but there is no mention of either breed being introduced to France.

Based on the context, there is no information to suggest that either the Hanover Hound or the Toy Trawler Spaniel were introduced to France.

FINAL_ANSWER: Neither the Hanover Hound nor the Toy Trawler Spaniel is mentioned as being introduced to France.",23.3
43,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,"The question is asking which board game was created by Reiner Knizia, Junta, or Medici.

The relevant parts of the context are Medici, Junta, and Reiner Knizia.

The answer is based on the context, which states that Medici is a German-style board game by Reiner Knizia. Therefore, the correct answer is Medici.

FINAL_ANSWER: Medici is a German-style board game by Reiner Knizia.",19.8
44,Were George Melford and Giuseppe Tornatore both actors?,no,"The question is asking if both George Melford and Giuseppe Tornatore were actors.

The relevant parts of the context are the descriptions of George H. Melford and Giuseppe Tornatore, which mention that George H. Melford was an ""American stage and film actor"" and Giuseppe Tornatore is a ""film director and screenwriter"".

Based on this context, it can be concluded that Giuseppe Tornatore was a film director and screenwriter, but there is no indication that he was an actor. George H. Melford, on the other hand, was indeed an actor.

FINAL_ANSWER: George H. Melford was an actor, but Giuseppe Tornatore was not.",29.1
45,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,"1. The question is asking for the name of a Japanese mixed martial artist who worked for the Dream organization in many of their promoted MMA shows.
2. The relevant parts of the context are the descriptions of Kazushi Sakuraba and Gesias Cavalcante, as well as the list of fighters promoted by Dream.
3. The answer is based on the fact that Kazushi Sakuraba is described as a Japanese mixed martial artist who was promoted by Dream and is currently signed to Rizin Fighting Federation.

FINAL_ANSWER: Kazushi Sakuraba.",26.6
46,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,"The question is asking which cathedral is located in London.

The relevant parts of the context are St Paul's Cathedral, London, and Norwich Cathedral.

The answer is based on the context, which states that St Paul's Cathedral is the Anglican cathedral located in London, making it the correct answer.

FINAL_ANSWER: St Paul's Cathedral is located in London.",18.5
47,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,"The question is asking which musician, Tom Verlaine or David Vincent, is older.

The relevant parts of the context are Tom Verlaine's birthdate (December 13, 1949) and David Vincent's birthdate is not mentioned.

Tom Verlaine is older than David Vincent.

FINAL_ANSWER: Tom Verlaine is older than David Vincent.",17.4
48,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,"The question is asking for the owner of a mall in Youngstown, Ohio that has a BAM! store.

The relevant parts of the context are:

* The mention of Cafaro Company of Youngstown, Ohio, which is the owner of Huntington Mall.
* The mention of Codding Enterprises, which is also an owner of Huntington Mall, along with Simon Property Group.

Based on this information, the answer is that Codding Enterprises and Simon Property Group own Huntington Mall, which has a BAM! store.

FINAL_ANSWER: Codding Enterprises and Simon Property Group own Huntington Mall.",22.3
49,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997","The question is asking for the birthdate of the rapper featured on Lil B.I.G. Pac.

The relevant parts of the context are the biographies of Kodak Black and Tupac Amaru Shakur.

The answer is based on the birthdate of Tupac Amaru Shakur, which is June 16, 1971.

FINAL_ANSWER: Tupac Amaru Shakur was born on June 16, 1971.",20.0
50,"What is the name of this 2010 American romantic comedy film directed by Garry Marshall, released February 9, 2010 via Big Machine Records?",Valentine's Day,"The question is asking for the name of the 2010 American romantic comedy film directed by Garry Marshall.

The relevant parts of the context are the descriptions of the film ""Valentine's Day"" and its director, Garry Marshall.

The answer is based on the context, which states that the 2010 American romantic comedy film directed by Garry Marshall, released on February 9, 2010, is called ""Valentine's Day"".

FINAL_ANSWER: Valentine's Day",28.3
51,When was the railroad opened which is north to the Bates Pond?,1947,"The question is asking for the year the railroad was opened that is north to the Bates Pond.

The relevant parts of the context are Edaville Railroad and its location in relation to Bates Pond.

The answer is based on the context that Edaville Railroad is located south of Bates Pond, and it was opened in 1947.

FINAL_ANSWER: The Edaville Railroad was opened in 1947.",20.9
52,"Who is Mary, Crown Princess of Denmark's mother-in-law?",Queen Margrethe II,"The question is asking for the identity of Mary, Crown Princess of Denmark's mother-in-law.

The relevant parts of the context are the descriptions of Mary and Frederik, as well as the information about Queen Margrethe II and her family.

Based on the context, Queen Margrethe II is Mary's mother-in-law, as she is the wife of Frederik, Mary's husband.

FINAL_ANSWER: Queen Margrethe II",22.3
53,In what party is the president whose cabinet Francisco Javier Mayorga Castañeda serves in?,National Action Party,"The question is asking for the name of the party that the president of the cabinet Francisco Javier Mayorga Castañeda serves in.

The relevant parts of the context are the information about Francisco Javier Mayorga Castañeda's affiliation with the National Action Party (""Partido Acción Nacional"", PAN) and his role as Secretary of Agriculture in the cabinet of President Felipe Calderón.

The answer is based on the fact that Francisco Javier Mayorga Castañeda is a member of the National Action Party (""Partido Acción Nacional"", PAN), which is one of the three major Mexican political parties.

FINAL_ANSWER: The party that Francisco Javier Mayorga Castañeda serves in is the National Action Party (""Partido Acción Nacional"", PAN).",28.1
54,What genre are both Giant Drag and Chagall Guevara?,rock,"The question is asking what genre both Giant Drag and Chagall Guevara are associated with.

The relevant parts of the context are the descriptions of Chagall Guevara's album and the definition of trip-hop.

The answer is based on the fact that Chagall Guevara's album spans several musical styles, including trip-hop, and that trip-hop is a genre that Giant Drag is not mentioned to be associated with. However, since the context does not provide information on Giant Drag's genre, we can only conclude that Chagall Guevara is associated with the trip-hop genre.

FINAL_ANSWER: trip-hop",22.9
55,What is the best-seller by Ruta Sepetys?,Between Shades of Gray,"The question is asking for the best-seller by Ruta Sepetys.

The relevant parts of the context are the two mentions of Ruta Sepetys: one as the author of the novel ""Between Shades of Gray"" and the other as the author of the debut novel.

The answer is based on the context, which states that ""Between Shades of Gray"" is a New York Times Bestseller and the debut novel of Ruta Sepetys.

FINAL_ANSWER: ""Between Shades of Gray"" is a New York Times Bestseller and the debut novel of Ruta Sepetys.",23.0
56,Scary Movie 5 was released under what independent film distribution label?,Dimension Films,"The question is asking for the independent film distribution label under which Scary Movie 5 was released.

The relevant parts of the context are the information about the first film, American Scary, and the fact that the Scary Movie films are written and directed by American independent filmmakers.

However, there is no mention of the distribution label for Scary Movie 5 in the provided context. The context only mentions the release of American Scary and the general information about the Scary Movie films, but does not provide specific details about the distribution of Scary Movie 5.

FINAL_ANSWER: The context does not provide information on the distribution label for Scary Movie 5.",25.8
57,"What is the population of the small town with an Air Force Base 7 mi northeast of Sacramento, California?",743,"The question is asking for the population of the small town with an Air Force Base 7 miles northeast of Sacramento, California.

The relevant parts of the context are the descriptions of McClellan Air Force Base and McClellan Park.

The answer is based on the fact that McClellan Park is a census-designated place in Sacramento County, California, with a population of 743, and McClellan Air Force Base is located in the North Highlands area of Sacramento County, 7 miles northeast of Sacramento, California.

FINAL_ANSWER: The population of McClellan Park is 743.",26.2
58,When did the coach of the Karachi Kings finish his time as coach of the Australia national cricket team ?,23 June 2013.,"The question is asking for the date when the coach of the Karachi Kings finished his time as coach of the Australia national cricket team.

The relevant parts of the context are the information about Mickey Arthur, who coached the Australia national team, and the date of his sacking, which is 23 June 2013.

The answer is based on the context, which states that Mickey Arthur was sacked as the coach of the Australia national team on 23 June 2013. Therefore, the coach of the Karachi Kings finished his time as coach of the Australia national team on 23 June 2013.

FINAL_ANSWER: Mickey Arthur was sacked as the coach of the Australia national team on 23 June 2013.",30.0
59,"What is the location of this recently retired domed stadium in the southeastern United States, which was developed by the same authority that developed the Georgia World Congress Center?","Atlanta, Georgia","1. The question is asking for the location of the recently retired domed stadium in the southeastern United States that was developed by the same authority that developed the Georgia World Congress Center.

2. The relevant parts of the context are the descriptions of the Georgia Dome, the Georgia World Congress Center, and the Georgia Dome's replacement, Mercedes-Benz Stadium.

3. Based on the context, the Georgia Dome is located in Atlanta, Georgia, between downtown to the east and Vine City to the west.

FINAL_ANSWER: The Georgia Dome is located in Atlanta, Georgia.",36.1
